i,r,r,r,r,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,i,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,n,n,a,b,r,i,i,r,e,e,a,b,r,n
1345.7,1526.9,1746.8,1964.4,2158.9,2359.8,2497.5,2615,2691,3077.8,3233.1,3352.5,3495.8,3613.4,3689.9,3854.7,4023.7,4175.2,4314.5,4449.7,4525.8,4677.8,4878.9,5025.9,5160.8,5238.6,5406,5500.5,5615.4,5761.6,5882.1,5959.9,6115.7,6288.1,6433.9,6577.6,6708.3,6785.1,6956.2,7051.3,7166.3,7306.1,7431.6,7507.2,7655.7,7829.4,7974.3,8116.2,8193.8,8335.8,8525,8696.3,8835.6,8956.1,9097.2,9216.6,9295.2,9452.7,9626.1,9770.3,9895.5,9975.5,10119,10299,10438,10586,10717,10794,10952,11142,11285,11427,11497,11649,12025,12198,12336,12462,12602,12722,12802,12951,13130
1392.2,1583,1802.5,2024.4,2219.7,2464,2596.5,2674.7,2743.1,3122,3288.6,3456.8,3595.9,3675.9,3741.2,3923.8,4091.4,4247.3,4386.8,4510.3,4581.7,4749.1,4955.5,5098.4,5222.9,5290.2,5456.8,5557.5,5719.6,5865.3,5943,6015.9,6185.2,6363.7,6505.8,6652,6770.5,6841,7005.6,7107.2,7277.3,7412,7490.6,7561,7728.1,7903.8,8048.6,8176,8250.2,8407,8582.7,8745.2,8891.2,9062.3,9196.9,9278.8,9350.7,9524.9,9701.2,9841.9,9956.1,10032,10196,10372,10515,10659,10777,10851,11024,11215,11360,11480,11554,11723,12069,12249,12394,12577,12701,12781,12855,13024,13203
