l,i,l,i,r,e,e,a,b,r,n,n,i,i,l,e,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,r,l,n,a,b
1180.1,1365.3,1525.5,1712.8,1865.2,1984.2,2129.3,2256.7,2329.8,2513.5,2695,2845.1,3036.4,3233.4,3372.1,3568.1,3713.4,3841,3916.6,4068.8,4276.7,4429.8,4575.8,4715.5,4843.8,4919.3,5141.1,5325.1,5478.7,5626.5,5763.9,5838.3,5989.5,6177,6248,6404.6,6459.7
1229.2,1404.3,1601.9,1753.4,1916.1,2084.4,2224.4,2309.5,2379,2578.2,2764.5,2914.5,3084.4,3273.4,3428.2,3680.2,3814.8,3895.2,3961.9,4140.2,4345.1,4499.5,4669.9,4817.5,4896.6,4963.4,5181.9,5393.6,5546.5,5696.7,5814.7,5883.3,6060.2,6204.2,6287.6,6437.9,6508.1
