i,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,l,r,l
1226.8,1398.8,1591.7,1782.8,1961.8,2131.9,2255.1,2402.4,2518.2,2589.5,2777.2,2961.3,3103.6,3239,3371.6,3443.3,3597.5,3768.2,3830.7,3957.6,4030.9,4178.4,4360.2,4422.9,4542.2,4613.1,4797.1,4884.2,5006.7,5135.9,5270,5341.1,5485.8,5662.2,5795.3,5928.4,5999.4,6140.2,6305.2,6476.8,6649.7,6738.6,6856.2,6993.6,7121.8,7194.1,7355.7,7531.1,7666.2,7789.3,7922.5,7994.7,8124.4,8302.7,8463.5,8648.1,8772.2,8890.7,9027.3,9154.5,9227.6,9380.7,9573.2,9712.4,9849.3,9981.2,10054,10183,10365,10431,10545,10619,10795,10880,11000,11139,11266,11338,11502,11673,11824,11958,12035,12188,12360,12536,12705,12887,13047,13135,13252,13391,13517,13592,13756,13941,14082,14221,14349,14481,14555,14708,14892,14960,15077,15153,15354,15441,15560,15700,15826,15901,16071,16253,16397,16531,16666,16740,16894,17084,17211,17390,17519,17719
1264.9,1448.5,1642.5,1838.3,2014.7,2189.2,2354.6,2494.3,2568.3,2635.7,2850.4,3028.8,3172.8,3308.9,3423.2,3493.3,3667.8,3801.8,3869.3,4012,4083.7,4246.7,4390.4,4464.1,4595.5,4662,4835,4936.5,5101.3,5237.4,5320.3,5394.3,5558.4,5726.8,5866.4,5981.1,6053.7,6211.2,6360,6519.3,6695.6,6793.6,6959.4,7090.3,7173.2,7243.2,7427.6,7599.3,7737.4,7858.5,7975.2,8049.8,8197.8,8362.2,8513.4,8689.6,8829.7,9002,9129.1,9208.4,9278.1,9451.5,9644.2,9783.1,9919.6,10034,10106,10258,10398,10473,10604,10675,10837,10938,11106,11234,11320,11388,11575,11745,11890,12013,12091,12260,12424,12578,12768,12929,13091,13189,13362,13489,13572,13639,13831,14010,14154,14291,14423,14536,14611,14782,14932,15005,15136,15210,15397,15499,15671,15799,15881,15951,16149,16322,16467,16600,16718,16793,16965,17137,17288,17443,17590,17755
