i,r,r,r,r,r,r,r,e,e,a,b,r,n,n,a,b,r,l,r,v,x,a,b,i,r,e,e,e,a,b,r,n,e,e,a,b,r,l,i,r,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b
1382.2,1571.8,1779.9,1961,2146.3,2325.9,2491.1,2648.8,2779,2919.8,3044.1,3116.2,3259.4,3428.7,3573.9,3710.3,3783.2,3925.6,4090.8,4205.8,4388.2,4454.1,4584.5,4654.6,4823.6,4912.8,5027,5163.4,5300.8,5420.4,5497,5639.3,5804.9,5956.2,6096.5,6221.5,6294.4,6453,6632.8,6813.6,6944.1,7115,7251,7372.4,7510.8,7640.1,7711.6,7910.6,8091.4,8231.6,8372.4,8496.7,8570.5,8744.9,8925.1,9065.5,9190.9,9269.4,9434.6,9609.8,9775.1,9906.2,10032,10168,10293,10369,10512,10685,10848,10989,11115,11189,11315,11523,11678,11812,11950,12025,12166,12341,12520,12651,12775,12913,13037,13112,13283,13472,13605,13747,13886,13958,14112,14281,14348,14479,14556,14740,14828,14946,15085,15209,15283,15446,15653,15797,15934,16059,16138,16294,16466,16647,16812,16950,17073,17212,17342,17416,17584,17779,17914,18064,18138,18315,18494,18569,18691,18768,18958,19044,19160,19298,19424,19499,19675,19853,20010,20154,20228,20374,20556,20624,20756,20835,21005,21101,21217,21353,21474,21554,21714,21907,22055,22183,22263,22430,22611,22792,22979,23132,23257,23397,23524,23599
1419.8,1626.9,1839,2022.9,2199.8,2385.2,2547.3,2707.2,2887.2,3018.1,3093.8,3163.3,3328,3497.6,3644.3,3760.7,3831.6,3992.4,4143.9,4274.9,4417.8,4487.8,4634.1,4709.7,4860.8,4966.1,5128,5261.6,5397.9,5476.3,5545.2,5705.1,5877.4,6065.5,6195.6,6274.1,6349.8,6526.8,6695.9,6854.7,6997,7158.7,7306.4,7476,7610.2,7690.9,7760.5,7999.9,8164.8,8338.4,8473.4,8551.8,8624.6,8818.4,8998.8,9141.3,9253.1,9321.3,9512.3,9665.8,9823.7,9959.9,10138,10267,10347,10420,10581,10748,10956,11089,11172,11243,11387,11591,11752,11882,12006,12071,12238,12402,12563,12711,12882,13014,13095,13161,13351,13543,13680,13822,13937,14010,14183,14314,14390,14538,14604,14786,14885,15052,15186,15264,15334,15519,15727,15868,16009,16122,16190,16369,16527,16689,16862,17007,17173,17313,17393,17461,17657,17848,17989,18117,18191,18384,18534,18608,18753,18823,18998,19100,19264,19396,19479,19548,19745,19926,20080,20206,20276,20445,20593,20669,20817,20887,21051,21157,21323,21451,21532,21605,21780,21981,22126,22243,22317,22501,22672,22841,23031,23193,23359,23495,23579,23649
