i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1145.3,1319.2,1495.1,1673.9,1864.2,1994.9,2132.3,2259.9,2332.8,2483.4,2664.1,2801.2,2942.1,3082.4,3154.5,3345.4,3439.7,3555.7,3695.5,3820.5,3893.2
1184.3,1364.6,1559,1718.9,1924.7,2100.9,2234.5,2312.5,2380.3,2549.7,2739.2,2874.3,3010.3,3133.1,3205,3392.5,3496.7,3666.5,3794.1,3869.9,3938.5
