i,r,i,l,i,r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,r,v,x,a,b,i,n,e,e,a,b,r,v,x,a,b,r,l
1793.8,1983.6,2243.7,2392.1,2580.6,2744.2,2920.4,3094.3,3266,3444.5,3580.9,3703,3851.6,3965.9,4036.3,4188.8,4370.7,4510,4642.8,4775.9,4847.8,4971.7,5144.8,5212.7,5332.5,5401.8,5573.5,5656,5773.1,5909,6035.5,6107.7,6257.2,6445,6634.2,6774.7,6895.9,7038.8,7157.5,7235.3,7412.6,7611.9,7742.1,7881.1,8018.4,8090.8,8221.4,8398.7,8548.1,8681.2,8811.8,8890.4,9019.6,9201.2,9277.8,9409,9480.4,9614.2,9704.4,9819.9,9956.2,10079,10156,10322,10520,10672,10811,10883,11010,11190,11345,11517,11658,11832,11956,12088,12207,12284,12416,12590,12738,12899,13034,13112,13285,13375,13494,13633,13754,13833,14012,14200,14347,14493,14566,14706,14885,15176,15370,15445,15577,15655,15840,15935,16054,16192,16317,16391,16570,16799,16879,17000,17080,17236,17425
1828.8,2036.4,2288.1,2451,2621.6,2803.8,2981.8,3157.2,3336.1,3511,3648,3803.9,3936.8,4020,4096.8,4265.6,4440.3,4582.6,4717.8,4831.9,4906.7,5049.5,5186.7,5254.1,5386.3,5458.3,5617.6,5716.7,5878,6009,6091.9,6166.4,6333.2,6504.7,6677.2,6832.6,7003.2,7144.4,7220,7291.4,7486,7681.2,7816.2,7956.1,8076.7,8152.6,8300.2,8468.1,8618.4,8756.7,8876.7,8947.8,9098.2,9252,9318.3,9467.7,9542.4,9665.8,9765.9,9924.9,10063,10140,10216,10406,10591,10744,10865,10945,11087,11252,11405,11571,11732,11898,12062,12189,12270,12338,12492,12663,12815,12969,13095,13174,13345,13441,13602,13736,13818,13893,14091,14278,14420,14549,14629,14790,14956,15255,15413,15489,15639,15713,15896,15995,16165,16295,16375,16447,16646,16847,16924,17065,17139,17317,17490
