i,i,r,i,l,l,i,r,l,r,e,a,b,r,n,l,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1984.2,2534.1,2717.4,3234.1,3414.7,3610.3,3928.2,4093.1,4280.8,4437.2,4647.1,4777.3,4850.3,5004.8,5226.1,5390.2,5587.2,5721.4,5838.3,5915.1,6074.6,6270.7,6430.8,6565,6699.1,6773.9,6952.4,7131.6,7319.8,7453.8,7574.6,7649.5
2025,2574.2,2772.2,3278.2,3480.8,3670.9,3965.8,4152.8,4342.6,4501.6,4748.9,4831.8,4907.3,5075.8,5295.5,5460.2,5685.3,5818.8,5895.6,5970.1,6141.8,6341.3,6497.9,6633.4,6753.6,6830.2,7030.2,7187.2,7413.7,7557.8,7634.4,7707.3
