l,i,i,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,i,l,i,r,e,e,a,b
1032.7,1202.9,1371.1,1554.9,1732.8,1870.9,1986.4,2127.6,2249.4,2322.2,2472.6,2649.7,2801,2941.8,3013.8,3188.3,3277.1,3390.9,3535.9,3652.8,3726.5,3867.4,4043.3,4188.6,4318,4391.4,4549.6,4789.3,4914.9,4985.2,5137.3,5227.2,5343.5,5480.4,5604.9,5679.4,5841.6,6021.9,6203.6,6340.3,6463.3,6535,6705.7,6880.1,7020.8,7163.6,7298.3,7370.8,7544.6,7632.3,7745.2,7882.2,8010.8,8250,8427,8570.6,8709,8781.6,8926.1,9100.9,9272.6,9452.9,9541.4,9654.7,9795,9924,9998.8,10178,10364,10511,10663,10737,10891,11078,11271,11455,11601,11718,11848,11922,12120,12325,12458,12597,12741,12813,12961,13132,13205,13341,13412,13562,13606,13755,13922,14087,14208,14349,14478,14552
1087.1,1239.5,1414.1,1586.9,1775.3,1920.1,2095.8,2222.8,2299.6,2364.9,2536.2,2720.2,2874,2994.3,3066.1,3225.8,3330.4,3491.4,3626.7,3706.3,3772.1,3932.5,4112.4,4254.2,4364.1,4441.4,4615.8,4828.4,4964,5031.9,5164.3,5277.8,5449.3,5579.5,5651.8,5721.8,5906.3,6076,6305.8,6435.7,6519.3,6583.8,6773.9,6949.8,7088.9,7230,7348.6,7420.6,7576,7680.8,7848,7985.4,8064.2,8314.5,8497.2,8640.8,8758.5,8828.1,8993.5,9130.2,9309.6,9485.6,9589.3,9765.1,9893.1,9978.2,10043,10243,10434,10585,10716,10788,10955,11128,11316,11504,11658,11816,11901,11969,12194,12398,12533,12674,12790,12863,13029,13169,13242,13392,13465,13598,13632,13809,13962,14139,14316,14439,14531,14596
