i,l,r,r,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,l,l,e,e,a,b
1017.3,1176.2,1354.6,1542,1730.3,1868.7,1992.6,2129.5,2246.6,2318,2478.3,2669.4,2817.9,2949.8,3019.3,3169.9,3341.7,3404.9,3544.4,3612.4,3804,3890.2,4006.5,4142.2,4269.2,4341.8,4482.2,4671.7,4880,5023.6,5147.8,5285.4,5408.4,5481,5634.8,5811.2,5946.5,6084.6,6222,6292.7,6448.8,6630,6693.2,6821.9,6891.7,7052.7,7147,7259.2,7396.3,7522.7,7594.9,7744.8,7954.5,8115.7,8245.1,8370.1,8443.9,8596.3,8768.8,8796,8959.8,9093,9214.9,9291.2,9509.2,9696.8,9839,9981.8,10119,10190,10378,10471,10584,10724,10848,10922,11085,11265,11434,11570,11700,11835,11906,12054,12230,12263,12413,12552,12682,12755
1052.1,1234.2,1411,1597.7,1765.2,1915.9,2085.2,2214,2296.4,2370.6,2547.8,2739.7,2887.8,3000.3,3071.9,3235,3368,3444.3,3593.4,3663.5,3829.5,3940.2,4106,4239.8,4322.4,4393.1,4548.1,4727.5,4920.6,5079.6,5252.1,5384,5456.6,5525.2,5698.7,5881.5,6013.1,6154.2,6273.7,6342.3,6516.8,6659.3,6732.4,6872.9,6941.7,7089.1,7194.3,7358.8,7492.3,7570.9,7641.6,7805.4,8025.9,8221.6,8344.3,8424.3,8494.7,8659.3,8794.9,8824.9,9059.9,9190,9270.8,9342.2,9568.6,9761.1,9903.6,10053,10170,10241,10415,10526,10686,10823,10896,10965,11153,11338,11508,11643,11770,11882,11956,12122,12261,12287,12516,12648,12735,12806
