r,r,r,r,r,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i
1091.4,1309.2,1495.9,1671.3,1866.4,1995.5,2117.3,2185.3,2332.2,2499.5,2642.2,2780.1,2847.3,2997.6,3189.5,3261.8,3394.1,3461.6,3734.7,3853.1,3991.3,4109.3,4180,4329.4,4506.6,4653.8,4802.8,4941.6,5010.5,5219.5,5309.6,5420.8,5554.8,5675.5,5746,5896,6080.2,6229.4,6363.9,6484.6,6556.4,6708.9,6905,7042.2,7169,7307,7376.4,7520.2,7696.3,7876.1,8068,8233.5
1137.2,1355.8,1538,1720.6,1915.3,2087.1,2159.8,2227.6,2387.1,2566.9,2711.2,2822.6,2898.7,3056.2,3232.7,3300.3,3439.3,3510.8,3780.1,3951.4,4083.2,4161,4228.2,4387.9,4575.2,4724.2,4866.4,4986.6,5061.2,5255.9,5358.8,5519.5,5646.3,5726.8,5791.5,5952.8,6146.7,6328.3,6455.9,6538.1,6605.3,6764.4,6974,7110.5,7239.8,7355.9,7424.3,7587.9,7749.9,7910.5,8099,8270.6
