l,l,l,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,n,e,e,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,a,b,r,n,n,a,b,r,l,l,i,r,e,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,i,l,i,r,e,e,a,b,r,n,n,a,b
1634.8,1795.6,1971.6,2157.3,2347.3,2531.1,2703.6,2854.7,3027.1,3158.4,3279.7,3350.8,3509.8,3685.8,3825,3953.9,4079.5,4149.4,4289.5,4475.2,4622.8,4757.3,4880.2,4952.9,5094,5270.1,5331.8,5455.4,5523.9,5775.6,5886.2,6026.6,6148.4,6224,6369.2,6538.8,6678.6,6811.8,6883.3,7058.6,7152.3,7263.8,7400.5,7523.6,7594.9,7742.5,7915.2,8093.8,8232,8370.8,8490.2,8625.5,8761.1,8886.4,8958.9,9108.2,9277.5,9411.2,9539.8,9611.6,9758.3,9933,10001,10125,10196,10359,10451,10562,10691,10766,10911,11078,11227,11373,11444,11590,11756,11934,12100,12235,12354,12492,12614,12688,12863,13038,13178,13333,13470,13592,13665,13844,14039,14188,14316,14393,14535,14711,14910,15048,15174,15246,15414,15594,15735,15871,16005,16078,16220,16414,16622,16808,16982,17134,17331,17526,17672,17800,17938,18068,18142,18296,18476,18627,18761,18832
1664.8,1841.9,2031.1,2207.7,2401.6,2580.2,2760.9,2904.4,3126.8,3251.3,3328.9,3400.4,3558.1,3751.2,3890.1,4017.2,4130.2,4198.5,4346.4,4543.1,4722.2,4853.7,4932.7,5000.8,5137.6,5300.1,5373.1,5504.5,5573.5,5821.8,5997.8,6116.6,6198.7,6273.5,6433.4,6610.4,6749,6860.8,6935.2,7084.2,7200.8,7361.4,7495.2,7572.9,7642.1,7800.6,7960.1,8130.3,8274.2,8418.4,8597.2,8720.9,8857.4,8937.4,9006.1,9170.8,9348.4,9484.5,9592,9662.1,9793.8,9964.9,10035,10175,10242,10391,10498,10666,10744,10817,10973,11148,11296,11423,11495,11631,11810,11965,12138,12285,12449,12587,12663,12726,12902,13106,13248,13437,13558,13647,13711,13912,14103,14262,14373,14445,14601,14775,15019,15148,15230,15297,15474,15666,15801,15940,16055,16128,16287,16474,16660,16846,17018,17178,17394,17563,17724,17905,18035,18119,18190,18362,18544,18699,18812,18884
