i,i,r,r,r,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,l,e,e,a,b,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b
1044.6,1308.8,1469.1,1649.8,1815.9,1975.7,2105.9,2228.3,2299.8,2454.8,2617,2757.2,2885.9,2954.3,3095.5,3269.8,3331.4,3451.3,3524.7,3670.3,3755,3878.1,4002.2,4124.6,4196.3,4330.6,4499.6,4641.8,4777.7,4909.9,4980.5,5124.3,5292.6,5463.2,5599.6,5725.1,5797.2,5937.6,6107.2,6274.2,6409.2,6534.8,6606.2,6749.4,6925.1,7072.6,7204.3,7329.2,7400.8,7583.1,7733.1,7873.9,8004.3,8125.6,8197.3,8344.3,8515.9,8653.9,8787.8,8921,8992.6,9126.1,9288.8,9477.9,9616.3,9740,9875.9,9998.8,10073
1085.6,1351.5,1522.2,1700.6,1874.1,2029.1,2198.6,2282.9,2347.5,2520.9,2683.8,2820.8,2936.2,3008.5,3172.7,3302.2,3371.5,3506.7,3578.2,3720.4,3808.7,3974.2,4097.4,4177.7,4245.6,4396.2,4568,4708.9,4846.6,4960.2,5035.8,5191.5,5347.1,5566.2,5704.6,5780,5850.3,6003.5,6174.2,6374.5,6512,6586.4,6656,6813.3,6976.8,7169.9,7296,7383.4,7453.2,7626.2,7793.9,7970.2,8093.3,8177.8,8245.6,8403,8586.9,8721.7,8858.3,8972.5,9043.5,9192.4,9351.7,9523.8,9674.4,9844.7,9976.6,10052,10121
