r,r,r,r,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,l
1115.8,1315.4,1496.2,1674.1,1867.6,1995,2134.1,2247.8,2319,2486.5,2662.3,2814.4,2957.8,3029.2,3172,3351.9,3415.6,3538.6,3607.2,3799.4,3886.5,4001.4,4142.9,4270.2,4341.6,4482,4650,4796.2,4932.8,5004.7,5144.4,5317.9,5500.9,5662.4,5807.5
1167.6,1374.2,1555.2,1726.9,1915.9,2085.3,2222.9,2297.4,2364.8,2554,2730.3,2882.7,3007,3079.6,3237.3,3377.3,3453.6,3584.5,3651.7,3828.4,3935.1,4106,4238.1,4322.4,4388.1,4547.4,4717.5,4863.2,4984.2,5053.2,5211.8,5372.3,5541,5697.7,5856.4
