r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,i,l,l
1007.4,1205.4,1376.3,1552.3,1733.1,1868.7,1985.3,2129.8,2244.3,2316.1,2462.9,2679.7,2825,2959.2,3030.2,3210.2,3298.8,3414.2,3551.4,3675.4,3746.4,3885.8,4062,4280.5,4429.6,4616,4753.7,4876.2,4949.4,5083.8,5265.1,5405.6,5537.9,5608.9,5749.8,5934.9,6076.2,6210.3,6343.5,6415.2,6559.3,6728.2,6924.2,7104.3,7266.1
1073.6,1263,1414.2,1613.7,1768.5,1919.7,2094.2,2221.8,2294.5,2359.4,2528.8,2744.9,2895.7,3008.4,3081.1,3243.6,3353.8,3516.7,3653.3,3732,3794.3,3950.7,4115.4,4316.4,4493.5,4716.3,4849,4932.6,4997.4,5151.5,5333.1,5473.7,5588.2,5660.6,5815.8,5999.4,6151,6277.3,6397.5,6465.6,6625.9,6778.4,6960,7158.3,7324.4
