r,i,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,l,e,e,a,b,i,i,r,r,e,e,a,b
1134.9,1321.7,1495.6,1705.9,1863.8,1984.8,2122.6,2242.1,2311.8,2463.9,2666.8,2813.7,2946.6,3017.9,3166.6,3364.4,3529.8,3672.2,3819.7,3889.3,4033.8,4208.8,4231.8,4368.5,4503.1,4623.9,4696.3,5082,5254.3,5404.5,5547.4,5677.1,5814,5938.8,6010.2
1187.8,1356.8,1548.8,1743.5,1915.7,2081.9,2219.5,2293.8,2364.2,2533.2,2733.1,2876.6,2999.3,3067,3227.3,3431.2,3598,3738.5,3865.6,3936.5,4092.3,4230.8,4258.8,4467.8,4600.2,4677.1,4744.2,5122.4,5294.6,5462.7,5603.1,5774.7,5918.4,5987.9,6055.1
