i,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r
1045.9,1225.8,1408.8,1553.3,1716.3,1860.5,1992.6,2125.4,2254,2323.5,2462.6,2627.8,2758.2,2887,2956.8,3089.3,3252.8,3383.7,3508.2,3636.7,3706.8,3863.7,3951.2,4067.3,4211.1,4343.9,4458.7,4530.6,4668.5,4840,4983.2,5117.7,5190,5321.8,5489.4,5668.1,5832.7,6009.9,6138
1082.8,1268.6,1441.8,1593.2,1756.1,1913.5,2089.2,2222,2305.1,2375.8,2526.3,2695.5,2826.8,2940,3008.1,3153.1,3315.2,3452.6,3578.9,3684,3757.4,3901.8,3999.3,4171,4298.4,4434.6,4511.7,4578.6,4733.6,4912.5,5055.4,5168.6,5240.3,5389,5544,5703.8,5893.4,6046.5,6195.7
