r,r,r,i,v,x,a,b,i,i,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r
1090.4,1279.5,1443.8,1625.9,1788.4,1867.8,1993.1,2058.5,2241.7,2329,2439.2,2574.3,2697.6,2766.7,2914.1,3090.3,3230.1,3370.8,3514.1,3581.7,3719.4,3893.5,3954.5,4076.6,4145.6,4308.6,4394.1,4513.4,4639.9,4767.7,4838.1,4976.5,5143.2,5280.8,5415.9,5485.5,5652.9,5739.6,5850.2,5991.8,6110.8,6182.7,6335.8,6531.3,6690.5,6822.8,6946.3,7017.9,7186.4
1137.1,1335.6,1496,1652.7,1812,1903.7,2035.9,2107,2274.6,2370,2539.5,2662.5,2746.8,2810.1,2971,3159.6,3296.8,3437.7,3560.8,3630.2,3780.1,3918.8,3996.4,4124,4190.3,4347.9,4439.6,4602,4748.1,4820.4,4886.9,5039.8,5212.6,5350.3,5465.8,5536.2,5682.1,5788,5950.2,6085.1,6162.3,6231.4,6400.3,6598.6,6794.8,6916.3,7000.7,7070.2,7252.6
