i,i,r,r,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,i,l,i,i,r,e,e,a,b,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b
1510.2,1776.8,1989.9,2187.4,2353,2544,2708.7,2894.9,3073.2,3193.2,3338.6,3453.8,3522,3680.6,3854.3,4008.6,4157.1,4291.9,4359.3,4548.8,4833.7,5002,5180.5,5349.9,5475.3,5593.4,5726.7,5850.2,5920.2,6234.2,6401.7,6558.3,6701.7,6819.7,6951.7,7072.5,7143.2,7335.6,7525.6,7677,7815.6,7932.4,8008.6,8209.2,8297.2,8410.5,8540.7,8658.8,8733.1,8964.2,9141.2,9291,9425.2,9541.1,9615.3,9769.2,9957.9,10129,10303,10391,10503,10643,10762,10837
1546.5,1816.2,2049.8,2247.3,2417.2,2605.4,2768.8,2956.2,3133.2,3292.9,3422.9,3506.2,3574.5,3751.2,3922.7,4076.2,4224.8,4350.9,4418.7,4633.8,4882.5,5065.1,5232.8,5393.1,5541.7,5695,5817.7,5907.2,5977.1,6280.8,6446.2,6615.6,6762.8,6917.8,7046.5,7127.1,7200.1,7414.2,7597.5,7742.8,7884,7995,8070.2,8259.5,8358.2,8507.2,8635,8718.5,8789.7,9038,9209.8,9389.5,9523.9,9601.5,9670,9842.8,10017,10178,10348,10451,10607,10738,10823,10894
