i,i,r,l,r,r,l,e,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,n,n,n,e,e,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,i,i,i,r,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n
1604.8,1823.5,1982.3,2165.7,2331.5,2518.9,2717.2,2880.2,3024.6,3143.3,3213.6,3386.5,3563.3,3706.8,3864.1,3997.2,4119.1,4189.7,4340.6,4514.4,4650.9,4783.2,4851.9,4991.8,5168,5231,5353,5422.1,5573,5751.3,5891.2,6042.5,6197,6334.8,6457.9,6528.8,6709.6,6797,6911.4,7056.3,7176.3,7244.7,7386.4,7567.8,7702.4,7833.1,7904.4,8046.5,8213.6,8387.6,8553.7,8682.1,8814.6,8936.9,9069.8,9191.2,9262.2,9404.1,9569.6,9711.1,9844.1,9975.5,10047,10196,10366,10544,10678,10800,10873,11010,11178,11317,11453,11583,11654,11829,11919,12030,12166,12290,12361,12515,12692,12822,12963,13032,13174,13364,13553,13737,13929,14114,14285,14412,14533,14666,14792,14863,15010,15181,15323,15462,15591,15664,15805,15980,16153,16291,16413,16486,16626,16817,16954,17089,17161,17330,17417,17532,17668,17790,17864,18224,18404,18574,18711,18830,18955,19031,19176,19384,19518,19656,19789,19861,20006,20195,20395,20624,20746,20862,21002,21130,21202,21373,21562
1638.6,1853.3,2036.6,2226.9,2385.8,2571.2,2780.6,2982.8,3116.8,3191.5,3260.1,3434.6,3635.8,3774.4,3958.2,4088.8,4168.7,4241.1,4400.3,4584.5,4721.1,4831.9,4901.2,5057.5,5200.5,5268.1,5401.5,5470.7,5637.5,5820.7,5963.1,6115,6302.7,6435.3,6509.8,6578.6,6746.8,6844.6,7013.3,7142.1,7224.8,7290,7450.2,7636.1,7774.4,7882.9,7955.4,8108.5,8269.1,8425.5,8593.4,8733,8899.3,9039.8,9163.4,9241.5,9310.2,9467.2,9643.7,9781.8,9915,10025,10096,10261,10428,10647,10774,10854,10921,11077,11248,11387,11526,11633,11704,11868,11963,12130,12259,12339,12406,12578,12758,12893,13015,13086,13242,13425,13590,13793,13988,14158,14322,14462,14629,14763,14841,14911,15074,15255,15393,15539,15642,15714,15868,16036,16253,16389,16468,16533,16691,16886,17022,17141,17215,17366,17466,17633,17766,17841,17909,18264,18440,18609,18760,18932,19011,19081,19243,19452,19588,19729,19841,19912,20074,20255,20433,20669,20796,20962,21102,21180,21249,21441,21630
