r,r,r,r,r,e,e,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,l,i,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,r,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1572.1,1746.8,1965.2,2186.8,2381.5,2565.8,2690.2,2806.7,2881.6,3068.9,3254.5,3427.9,3589,3753.4,3905.1,4019.2,4162.6,4283.8,4354.4,4507,4682.3,4816.3,4952.5,5022.8,5160.2,5327,5433.7,5613.3,5789.3,5975.1,6114.8,6231.5,6362.8,6478.4,6553.3,6690.4,6867.8,7033.7,7166.1,7296.8,7367.3,7519.4,7610.9,7722.8,7854.8,7973.8,8049.7,8187.2,8364.8,8542.6,8697.1,8859.9,9035.7,9171,9288,9420.4,9542.4,9615.1,9778.5,9953,10087,10214,10342,10414,10547,10725,10789,10910,10985,11165,11251,11363,11499,11622,11694,11838,12017,12165,12302,12440,12510,12681,12768,12881,13014,13140,13212
1610.2,1800.9,2021.2,2242.5,2436.5,2653.7,2779.3,2860.9,2932.9,3142.8,3317.3,3466.9,3631.9,3793.2,3957.6,4125.6,4254.2,4331.8,4397.8,4569.8,4752.9,4886.1,5001.9,5070.7,5225.3,5371.5,5502.5,5671.8,5831.3,6042.7,6171,6337.2,6455.1,6530.8,6601.8,6755.8,6936.5,7105.6,7238.4,7350.4,7421.5,7567.4,7664.2,7821.6,7954.9,8028.3,8100.1,8254,8420.9,8581.5,8739.6,8912,9077.8,9229.4,9394.5,9522.3,9594.8,9666,9850.6,10021,10160,10285,10391,10466,10614,10758,10834,10965,11036,11203,11304,11467,11595,11673,11741,11901,12089,12234,12373,12490,12563,12728,12824,12988,13115,13190,13258
