r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,l,e,e,a,b,r,n,i,l,i,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
1147.8,1323.5,1514.4,1705.9,1875.8,1998.4,2137.8,2256.4,2326.7,2501.2,2676.3,2811.3,2941.4,3079.4,3149.6,3299.6,3475,3538,3668.6,3738.3,3924.1,4011.3,4124.5,4261.8,4384.2,4459.7,4619.3,4797.6,4932.8,5066.8,5194.1,5265.4,5450.2,5536.9,5653.5,5789.3,5914.1,5987.2,6125.1,6306.3,6460.3,6598.8,6730.8,6800.3,6929.2,7101.4,7262.6,7400,7524.5,7597.3,7739.8,7911.9,8049,8174.9,8253.4,8398.8,8561.1,8627.5,8753.3,8824.7,9004,9091.1,9208.1,9349.8,9477,9550.4,9698.4,9874.9,10036,10168,10292,10365,10522,10700,10840,10979,11052,11195,11364,11428,11553,11624,11832,11919,12036,12173,12298,12375,12510,12699,12831,12961,13040,13187,13369,13533,13682,13824,13946,14023,14200,14378,14658,14841,15029,15178,15310,15487,15629,15751,15889,16018,16093,16303,16482,16625,16761,16900,16973,17128,17332,17508,17663,17783,17925,18052,18127,18284,18471,18621,18755,18828,18968,19166,19349,19483,19609,19683,19866,20086,20229,20361,20500,20573,20723,20912,20980,21109,21182,21417,21506,21625,21766,21891,21968
1200.4,1377.8,1567,1762.8,1928.7,2092.7,2226,2304.4,2376.7,2572.7,2743.4,2879.8,3009.9,3130.5,3203.6,3369,3502.1,3582.1,3718,3787.5,3961,4066.4,4231.4,4363,4438.1,4506.1,4675.4,4858.9,5002.7,5130.2,5243.9,5311.6,5487.9,5590.8,5751.9,5889.6,5968.1,6031.9,6194.6,6374.7,6529.1,6667.7,6778.2,6851.4,7001.8,7127.5,7368.7,7498.9,7573.7,7642.9,7809.9,7981.4,8120.2,8230.4,8302.7,8468.8,8597,8665.7,8804.4,8873.6,9041.7,9146.5,9316.2,9450.5,9529.6,9597.3,9766.3,9942.6,10135,10268,10344,10413,10593,10771,10909,11029,11104,11265,11391,11470,11604,11673,11869,11976,12141,12272,12353,12422,12582,12764,12898,13018,13087,13261,13426,13594,13782,13917,14007,14078,14276,14447,14707,14902,15069,15237,15372,15547,15686,15854,15997,16072,16140,16376,16552,16697,16834,16953,17028,17208,17393,17556,17721,17888,18025,18109,18179,18354,18539,18692,18809,18878,19039,19226,19449,19584,19665,19732,19939,20153,20300,20428,20551,20627,20793,20945,21022,21165,21238,21462,21561,21731,21865,21946,22012
