r,r,r,r,l,r,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,r,e,e,a,b
1014.5,1206.2,1401.8,1581.2,1741.5,1864.1,1982.6,2113.6,2187.2,2317.2,2491.1,2639.5,2774.3,2897.8,2970.1,3102.3,3286.4,3421.9,3554.8,3626.4,3798.1,3892.4,4007.7,4143.6,4265,4338.4,4482.6,4667,4806.5,4939,5075.8,5148.5,5284.6,5458.6,5531.5,5655.6,5726.5,5879.3,5975.1,6090.4,6230.2,6354.6,6428.8,6550.7,6756.9,6889.8,7020.3,7093.3,7248.8,7338.9,7456.1,7592.1,7722.8,7796.7,7934.1,8103.4,8243.6,8381.7,8455.5,8615.1,8792.7,8953.6,9084.9,9211.3,9286.6,9437.6,9624.5,9772.1,9909.6,10041,10116,10265,10447,10618,10753,10878,11016,11143,11222,11367,11549,11693,11830,11904,12090,12269,12449,12590,12714,12794,12981,13165,13302,13439,13515,13673,13859,14035,14201,14334,14460,14600,14725,14805,14979,15159,15295,15428,15561,15636,15840,15942,16059,16199,16332,16408,16579,16761,16907,17053,17128,17286,17473,17640,17789,17909,18050,18183,18258,18466,18664,18802,18933,19015,19178,19380,19539,19675,19872,19997,20137,20267,20341
1069,1264.5,1455.3,1636.7,1801.4,1921.7,2088.6,2170.5,2240,2392.6,2557.6,2747.1,2872.3,2947.9,3022.9,3175.2,3354.4,3490.5,3608,3681.8,3842.9,3945.7,4115.4,4243,4315,4386.9,4553.7,4735.1,4872.8,5006.8,5130.9,5205.5,5358.8,5492.6,5568.1,5708.6,5775.8,5926,6028.9,6198.4,6332.2,6410.2,6475.2,6622.9,6823.8,6958.6,7073.8,7141.3,7294.2,7396.4,7563.3,7692.5,7780.5,7848.8,8007.8,8173,8312.9,8437.5,8514.6,8690.4,8848.1,9059.6,9190.7,9267.5,9334.3,9509.8,9696.9,9848,9981.9,10096,10170,10342,10506,10663,10812,10980,11115,11202,11275,11440,11622,11762,11884,11958,12173,12331,12561,12693,12776,12848,13063,13238,13375,13498,13574,13747,13920,14087,14251,14392,14563,14699,14788,14861,15060,15230,15369,15499,15616,15691,15878,15999,16163,16305,16386,16456,16652,16839,16982,17107,17184,17360,17531,17690,17845,18021,18157,18239,18309,18541,18736,18875,18994,19065,19256,19441,19590,19734,19931,20100,20243,20324,20394
