i,r,i,l,i,r,r,r,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,n,e,e,a,b,r,l,l,r,n,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,i,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,i,i,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,r,i,r,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,i,i,i,r,e,e,a,b,r,n
663.48,849.78,1060.9,1196.4,1372.3,1525.5,1674.8,1837.7,1995,2130.4,2240.1,2313.5,2443.1,2606.2,2738,2865.3,2989.2,3059.2,3201.4,3372.8,3503.8,3635.8,3768.9,3838.8,3967.1,4135,4274.1,4412.3,4528.7,4604.1,4766.8,4940.5,5100.9,5214.2,5385.1,5517.8,5647.6,5779.7,5850.4,5998.2,6164.8,6290.4,6430.9,6557.3,6628.8,6759.5,6932.3,6995.3,7114.7,7184.4,7333.8,7504.8,7640.2,7770.9,7842.1,7976.3,8138.4,8214.8,8334.2,8405.2,8554.2,8648.2,8763.6,8900.9,9025.3,9099.9,9241.7,9415.6,9555.6,9685.9,9812.8,9885.5,10012,10192,10349,10488,10612,10686,10822,11001,11132,11267,11402,11474,11638,11736,11846,11984,12107,12184,12320,12492,12632,12769,12841,12980,13156,13299,13433,13506,13658,13852,14011,14168,14287,14423,14552,14625,14771,14967,15103,15246,15381,15456,15658,15753,15864,16000,16128,16203,16561,16716,16892,17032,17159,17237,17419,17592,17733,17874,17947,18095,18284,18429,18578,18718,18792,18942,19116,19288,19438,19560,19701,19829,19904,20128,20309,20453,20616,20758,20831,20975,21269,21440,21607,21755,21876,22014,22142,22216,22372,22586,22758,22896,23024,23100,23245,23433,23586,23732,23873,23948,24109,24298,24363,24531,24732,24878,25072,25290,25428,25556,25632,25859,26040,26188,26323,26453,26528,26658,26867,27012,27156,27232,27546,27755,27900,28056,28187,28338,28465,28541,28729,28917
746.82,908.61,1098.1,1248.4,1409.3,1570.2,1726.7,1886,2088.3,2218.4,2291.9,2364.6,2516.7,2675.9,2805.6,2930.4,3038.5,3108.9,3262.2,3438.5,3574.6,3706.7,3814,3888.6,4028.3,4202.1,4376.5,4506.8,4582.3,4652.1,4836.2,4996.2,5129.8,5286.6,5453,5588.8,5716.8,5831,5901.9,6076,6230.1,6360.5,6500,6603.2,6675.6,6825.9,6958.4,7030.8,7164.4,7230.5,7402.9,7574.2,7711.3,7818.1,7894.5,8003.6,8179.1,8251.4,8380.7,8455.9,8593.3,8699.7,8866.4,8997.6,9078.7,9142.7,9306,9479.8,9627.4,9754,9862.1,9933.1,10083,10245,10452,10584,10666,10738,10848,11068,11204,11334,11454,11525,11682,11782,11955,12081,12163,12227,12408,12563,12702,12817,12890,13001,13229,13373,13481,13558,13786,13907,14051,14216,14392,14525,14603,14677,14849,15035,15180,15316,15434,15507,15694,15801,15967,16099,16177,16251,16602,16776,17000,17129,17216,17286,17488,17666,17803,17927,18000,18167,18349,18503,18650,18765,18841,18988,19171,19330,19489,19666,19799,19882,19953,20191,20372,20525,20686,20805,20875,21009,21312,21485,21646,21806,21979,22113,22196,22263,22432,22645,22864,22999,23077,23152,23319,23505,23654,23800,23926,23997,24160,24331,24407,24588,24773,24939,25128,25397,25520,25610,25682,25925,26112,26258,26395,26504,26577,26752,26943,27087,27208,27280,27592,27789,27938,28111,28301,28435,28516,28588,28797,28984
