i,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i
1036.7,1206.5,1388.9,1570.9,1744.9,1861.3,1981.9,2121.3,2245.9,2319.7,2467,2647.2,2805.5,2943.5,3083.1,3155.8,3317.6,3516.5,3772.7,3941.8
1072.5,1241.3,1434.9,1609.5,1792.3,1910.9,2087.7,2223.4,2293.2,2364.7,2530.8,2706.6,2874.3,3006.2,3133.7,3202.9,3381.8,3573.2,3809.5,3981
