i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,l,r,l,i,i,r,e,e,a,b,r,n,n,a,b,l,l,e,i,i,r,e,a,b,r,n,n,a,b,r,l,e,e,a,b
1645,1809.5,1993.4,2123.6,2257.4,2389,2508.6,2586.3,2727.2,2894.8,3037.7,3172.2,3303.9,3377,3515.5,3686.2,3750.2,3880.3,3952.3,4093.3,4186.3,4301.8,4439.3,4569.7,4644.3,4786,4962.8,5134.4,5304.4,5421.8,5604.8,5759,5923.3,6050.8,6178.2,6315.2,6442.8,6517.2,6669.3,6837.7,6978.5,7107.5,7182,7376.2,7541.9,7727,8059.6,8229.7,8369.3,8497.7,8640,8713.6,8863.8,9042.1,9185.1,9309.2,9389,9513.3,9701,9873.8,10014,10139,10216
1681.4,1875.2,2034.9,2176.1,2356.9,2480.5,2566,2634,2801.2,2971.5,3110.8,3241.4,3353.5,3430.3,3588.6,3722,3794.8,3933.8,4006.6,4128.5,4238,4411.4,4543.3,4620.6,4691.2,4858,5020.5,5183,5359.3,5497.8,5663.1,5804.2,5968.1,6107.7,6282.8,6409.1,6498.8,6571.2,6742.8,6909.5,7050.7,7164.7,7238.4,7441.2,7592.2,7826,8110.7,8272.7,8424.4,8605.4,8694.8,8769.1,8936.2,9114.2,9258.2,9370,9448.8,9588.8,9760.8,9982.5,10119,10197,10267
