r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,r,v,x,a,b,r,r,l,e,e,a,b,r,l,i,i,l,i,r,e,e,a,b,r,n,n,a,b,i,l,e,e,a,b,r,n,n,n,a,b,r,i,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b
1171.2,1375.7,1551,1720.8,1856.7,1987.9,2134.6,2254,2323.6,2494.8,2683.3,2830.7,2963,3098.3,3168.7,3311.3,3492.7,3554.9,3685.6,3754,3894,4075,4213.7,4349.4,4487,4557,4692.8,4861.3,4929,5070.1,5139.4,5275.5,5310.4,5445.9,5610.4,5748.4,5865,5936.1,6077.7,6257.6,6432.4,6595.4,6750.2,6926.3,7046.7,7167.8,7302.9,7427.1,7498.4,7673.3,7839.4,7976.4,8111.9,8183.4,8351,8436.2,8551.8,8695.6,8811,8884.1,9054.2,9245.4,9380.1,9516.2,9646,9717.5,9858.4,9897.9,10027,10090,10212,10283,10469,10557,10670,10807,10932,11004,11162,11336,11482,11616,11759,11831,11978,12156,12319,12452,12573,12648,12798,12969,13113,13263,13398,13469,13632,13814,13996,14159,14255,14367,14505,14634,14709,14853,15038,15191,15342,15413,15598,15692,15807,15956,16075,16149,16311,16489,16637,16784,16855
1225,1424.2,1603.2,1777.9,1912.4,2088.5,2223.2,2300.5,2372.2,2523.9,2749.3,2901.5,3031.2,3145.9,3213.4,3373.9,3523.2,3595.5,3733.2,3805.8,3959.4,4139.2,4284.1,4418.9,4536.7,4605.1,4759.2,4887.8,4969,5115.3,5188.2,5308.9,5340,5472.3,5707.1,5837.3,5916.1,5981.9,6143.3,6314.8,6471.5,6632.2,6806.6,6964.2,7104.9,7267.2,7386.8,7475.6,7540.4,7736.8,7907.3,8045.1,8163.1,8233.4,8375.1,8480.8,8651,8780,8862.8,8925.7,9085,9311.5,9449.1,9581.8,9694.8,9768.4,9895.9,9926,10052,10133,10261,10328,10501,10605,10776,10901,10984,11052,11221,11404,11544,11685,11804,11880,12043,12177,12424,12547,12626,12698,12863,13038,13184,13328,13446,13522,13707,13871,14025,14199,14302,14463,14603,14682,14755,14920,15107,15261,15392,15461,15633,15740,15909,16048,16127,16198,16373,16554,16709,16836,16904
