i,i,r,r,l,r,l,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,l,l,i,i,i,l,l,r,e,e,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,l,l,i,i,i,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r
1534.2,1746.2,1984.2,2160.7,2369,2510.3,2671.5,2827.5,2961.9,3097.2,3215.8,3286,3466.4,3651.2,3795.8,3932.7,4062.4,4133.4,4292.1,4459.1,4605.2,4736.1,4807.2,4946,5121.1,5302.2,5473.6,5643.8,5785.5,5910.1,5981.9,6138,6305.8,6467.2,6652.1,6829.7,6995.2,7176.2,7357.8,7484.8,7602,7739.8,7863.3,7935.6,8075.1,8256.6,8323.8,8448.9,8518.4,8699.8,8788.7,8900.2,9033.4,9156.6,9228.1,9374.2,9549.9,9727.7,9902,10085,10259,10422,10559,10700,10820,10953,11079,11152,11349,11531,11684,11840,11972,12043,12198,12382,12576,12715,12836,12973,13097,13170,13374,13557,13706,13831,13962,14034,14198,14288,14402,14536,14669,14744,14894
1572.8,1779.3,2021.5,2217.2,2423.1,2561.2,2730.9,2877,3053.1,3175.4,3261.5,3336.2,3531,3719.8,3863.2,4000.2,4111.1,4181.4,4348,4527.3,4674.7,4782,4857.4,5004.8,5181.1,5326.4,5531.6,5750.6,5881,5959.5,6028.7,6191.6,6362.2,6526.6,6673.4,6866.6,7017,7237.7,7385.7,7534.1,7698.5,7825,7908.9,7982.2,8139.8,8292,8359.5,8495.8,8564.6,8731.8,8827.9,8993.8,9124.9,9204.4,9268.1,9430.4,9617.6,9788.1,9928.1,10119,10295,10456,10611,10754,10919,11042,11130,11198,11388,11599,11754,11908,12017,12094,12259,12437,12615,12767,12938,13068,13145,13215,13435,13625,13775,13900,14010,14082,14237,14340,14511,14643,14719,14789,14959
