l,l,l,r,r,r,r,r,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,r,n,n,n,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,i,e,e,a,b,r,i,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
1334.8,1480.5,1620.9,1778.2,1965.1,2137.9,2308.5,2484.1,2632.3,2757.1,2828,2971.6,3144.5,3291.4,3425.9,3568.2,3638.1,3773.5,3936.6,3999.1,4123.6,4194.1,4363.2,4448.8,4561.2,4707.7,4822.4,4893.3,5038.6,5212.3,5324.3,5495.5,5637.4,5764.2,5899.2,5970.5,6107.4,6279.3,6419.4,6567.8,6731.7,6875.4,6994.8,7129.1,7257.2,7328.6,7469.1,7636.7,7769.8,7899.8,7970.6,8121.3,8295.1,8359.3,8497.2,8567,8726.3,8813.2,8926.8,9063,9185.8,9258.8,9419.3,9455.5,9599.9,9736.7,9869.5,10001,10072,10215,10387,10453,10573,10642,10806,10898,11012,11147,11272,11345,11492,11677,11822,11954,12026,12175,12354,12496,12633,12706,12856,13055,13240,13416,13508,13622,13762,13891,13962,14111,14293,14439,14578,14650,14875,15089,15235,15370,15510,15582,15726,15903,15965,16092,16164,16339,16427,16546,16683,16806,16879
1374.9,1538.9,1677.8,1833.7,2018.4,2194.9,2365.6,2540.3,2731.3,2807.8,2880.2,3039.6,3211.2,3363.5,3492,3616.5,3689.7,3840.2,3965.7,4041.5,4172,4243.5,4401.5,4503.4,4664.4,4796.6,4873.6,4937.9,5102.2,5255.2,5391.7,5563.4,5704.6,5831.5,5949.9,6022.1,6175.2,6319.3,6464.2,6602.1,6769.9,6932.2,7088.8,7223.5,7309.4,7379.2,7532.2,7702,7840.6,7952.5,8020.3,8191.9,8321.9,8398.2,8549.9,8619.5,8764.9,8870.6,9024.4,9163.5,9242.4,9308.3,9454.3,9484.2,9667.2,9808.2,9941.4,10052,10126,10274,10419,10488,10623,10688,10846,10947,11116,11242,11323,11390,11557,11746,11893,12004,12079,12251,12426,12568,12684,12755,12921,13112,13275,13452,13555,13721,13858,13942,14010,14182,14364,14509,14628,14703,14947,15158,15307,15442,15562,15634,15792,15927,16012,16145,16216,16378,16484,16642,16781,16862,16932
