r,r,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,i,l,r,e,e,a,b,r,n,e,e,a,b
1782.3,1960.2,2163.5,2354.8,2555.3,2752.3,2916.4,3057.9,3182.6,3322.6,3442.9,3520.5,3721.4,3903.3,4041,4187.6,4258.9,4402.8,4597.1,4748.2,4881.8,5001.9,5080.2,5230.1,5415.3,5553,5691.9,5763.3,5910.6,6084.1,6242.5,6378.6,6500.7,6641.8,6765.7,6840.8,7011.1,7186.7,7338.3,7473.6,7599,7674.3,7853.5,8035.7,8206.8,8347.1,8471.5,8614.8,8749.1,8874.2,8953.1,9099.8,9274.5,9415.2,9548.8,9621.8,9765.2,9948.4,10105,10238,10388,10525,10651,10728,10879,11066,11200,11333,11406,11591,11789,11959,12102,12225,12367,12492,12569,12947,13094,13234,13358,13483,13625,13752,13846,14068,14241,14407,14539,14668,14744
1821.5,2017.9,2228.8,2414.4,2614.9,2812.5,2983,3112.2,3291.2,3429.1,3504.8,3574.9,3798.3,3972,4112.5,4243.1,4313,4472.5,4670.6,4856.4,4988.5,5063.9,5132.4,5300.3,5490.9,5625.3,5744.9,5818.4,5983,6144.9,6292.2,6436,6607.8,6739.7,6825,6894.3,7084,7263.3,7445.7,7575.4,7658.4,7729.1,7929.4,8099.6,8258.5,8410.4,8579.2,8715.6,8852.4,8936.5,9005.8,9172.6,9345.5,9483.7,9605.1,9669.3,9836.3,10011,10151,10299,10493,10630,10709,10779,10952,11140,11269,11393,11458,11667,11850,12008,12160,12332,12476,12546,12623,12995,13142,13295,13415,13587,13730,13804,13876,14137,14313,14504,14650,14726,14795
