i,i,i,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b
1704.5,1996.6,2278.3,2443,2658.8,2861.9,3039.7,3221.3,3382.4,3522.6,3644,3722.4,3916.6,4103.2,4247.1,4393.9,4529.8,4606.7,4757.5,4928,4999.2,5140.4,5211.9,5368.1,5460,5580.6,5719,5842.1,5919.4,6059,6245.6,6394.7,6532.3,6657.2,6730.6,6884.7,7070.3,7214.1,7360.4,7429.1,7612.5,7703.2,7825.2,7964,8092.4,8166.6,8310.5,8513,8658.8,8795.5,8922.2,8999.2,9143.5,9333,9530.8,9684.5,9774.8,9897.5,10038,10166,10242
1750.2,2043.3,2324.8,2505.8,2730.2,2921.9,3111.8,3289.2,3490.7,3618.1,3707.1,3781.8,4003.8,4175.9,4322.7,4469.6,4592.9,4671.3,4846.1,4977.7,5043.6,5196.6,5270.5,5421.1,5520,5677.6,5814.3,5903.9,5979.3,6129.2,6324.5,6499.4,6628.7,6714.2,6787.4,6967.8,7142.3,7286.6,7414.7,7493.3,7663.4,7772.1,7925.9,8057,8150.9,8221.5,8388.5,8583.8,8763.6,8888.2,8985.9,9057.4,9224.6,9398,9574.7,9731.7,9837.1,9998.3,10134,10227,10300
