r,l,i,l,i,l,e,e,a,b,r,n,n,a,b,r,l,i,r,l,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b
1072.8,1241.6,1445,1603.2,1769.1,1870.4,1986.4,2122.3,2245.8,2321.1,2469,2643.9,2780.9,2914.9,2985.8,3125.8,3300.4,3471.2,3627.2,3813.1,3908.1,4093.8,4237.4,4369.1,4501.6,4575.4,4715,4898.8,4964.3,5092.8,5163.4,5323,5416.5,5531.1,5671.2,5795,5870.5,6021.5,6200.8,6360,6503.2,6637.1,6709.4
1140.4,1299.9,1484.2,1662,1807.9,1911.7,2092.2,2220.1,2300,2366.6,2536,2713.5,2851.4,2967,3032.6,3192.8,3347.4,3513.6,3703.2,3846,3962.2,4163.2,4312.1,4440.5,4550.2,4625.1,4783.3,4934.5,5001.7,5144.9,5213.2,5363.9,5469.4,5639.8,5773.9,5849.5,5917.8,6087.4,6269.9,6430.2,6572.6,6687.5,6754.7
