l,l,i,i,i,i,i,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,i,r,e,e,e,a,b
113.57,267.49,444.33,653.92,837.3,1033.1,1241.4,1391,1541.7,1708.8,1847.9,1977,2109.5,2236.2,2310.1,2467.1,2647,2777.1,2907.4,2981.4,3134.2,3227.2,3339.9,3481.8,3602,3678.2,3815.7,3997.1,4168.5,4295.9,4460,4596.3,4722.9,4798.4,4930.8,5109.3,5249.4,5369.8,5448.5,5601.4,5770.2,5906.9,6047.5,6120.3,6289.9,6384.3,6501.7,6639.9,6767.3,6841.7,6984.6,7158.7,7295.9,7431,7503.2,7645.1,7811.1,7964,8101.7,8227.2,8302.8,8474.9,8647.5,8793.7,8923,8998.8,9184.4,9346.5,9422.9,9547.1,9619.8,9780.6,9877.3,9996.5,10129,10254,10331,10488,10657,10804,10951,11021,11174,11349,11522,11646,11769,11908,12035,12111,12289,12482,12638,12777,12908,12984,13149,13319,13464,13594,13669,13806,13994,14185,14320,14445,14522,14664,14864,15011,15158,15232,15447,15576,15703,15842,15978,16106,16182
169.24,326.43,519.65,729.24,915.9,1087.9,1275.9,1445.8,1580.8,1749.4,1905.6,2069.2,2204,2289.2,2356.8,2534.3,2715.4,2846.6,2960.9,3032.8,3170.1,3280.5,3432.3,3571.7,3659.5,3728.7,3882.4,4054.2,4205.8,4355.2,4565.2,4704.8,4779.9,4848.5,4995.1,5176.6,5316.4,5431.7,5498.9,5662.3,5841.2,5977.7,6101.9,6167.8,6331.2,6442.6,6607,6746.1,6824.1,6889.8,7053.3,7229.9,7371.3,7483.9,7559.6,7708.8,7864.5,8072.4,8203.5,8283.7,8349.9,8542.2,8718.8,8864.8,8977.2,9053.4,9241.2,9380.1,9461.4,9601.3,9669.7,9821.6,9930.8,10100,10232,10315,10386,10557,10729,10876,11008,11081,11241,11401,11561,11700,11878,12008,12094,12161,12365,12554,12742,12882,12965,13033,13215,13393,13534,13649,13721,13880,14052,14286,14420,14507,14573,14732,14939,15083,15210,15281,15488,15637,15807,15943,16079,16166,16236
