l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n
1069.6,1226.9,1435.7,1607.5,1766.8,1871.2,1984.5,2121.8,2242.5,2315.2,2470.4,2642.9,2802.2,2933.3,3063,3135.4,3270.7,3456.3,3624.1,3758.9,3878.7,3955.5,4126.1,4291.8
1124.5,1271.5,1489.9,1645.6,1815,1922.4,2088.2,2220,2292.9,2362,2537.8,2714.9,2875.4,3004.7,3115.2,3187.2,3337.1,3510.6,3723.6,3854.4,3935,4010.8,4189.2,4359
