r,r,r,r,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i
1154.2,1339.2,1517,1691.3,1874,1996.1,2139.6,2248.9,2317.7,2465.2,2629.1,2788.1,2919.6,3034.1,3103.2,3249.7,3417.1,3558,3698.6,3767.3,3907.4,4095.7,4281.7,4454,4619.5
1207.6,1384.1,1571.8,1744.8,1916.2,2083.9,2227.2,2300.4,2369.3,2525.1,2690.5,2881.1,3003.3,3083.6,3153.1,3308.9,3484.1,3623.8,3748,3819.6,3970.4,4150.9,4315.7,4511.9,4653.2
