r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,r,n,n,n,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,r,v,x,a,b,i,r,e,e,a,b,r,n,n,e,e,e,a,b
1169,1345.3,1548.9,1732.7,1865.3,1998,2131.8,2253.4,2324.8,2498,2674.9,2819.6,2961.2,3088.8,3160.7,3312.9,3486.1,3553.7,3690.1,3760.3,3931,4018.3,4132.4,4281,4397.2,4467.7,4620.1,4658.1,4794.3,4937.9,5071,5201.8,5272.5,5421,5582.5,5740.4,5878.5,6003.5,6076.2,6269.6,6439.1,6597.9,6744.1,6858.3,6932.7,7078.4,7239.5,7386.8,7522.7,7594,7742.2,7912.4,8086.1,8239.6,8410.6,8581.6,8726.4,8844.4,8977.4,9102.6,9175.6,9321,9494.8,9641.5,9784.7,9855.6,9999,10175,10346,10524,10696,10885,11036,11155,11291,11421,11492,11647,11818,11960,12095,12234,12307,12449,12489,12621,12699,12818,12895,13058,13148,13275,13413,13533,13607,13841,14004,14159,14310,14449,14581,14706,14779
1223.2,1403.2,1603.4,1793.2,1919.6,2090.1,2225.7,2302.6,2373.5,2564.7,2741.3,2887.2,3025.4,3140.5,3210.2,3374.5,3520.5,3588.5,3737.4,3813,3968.3,4069.3,4238.4,4369.4,4445.2,4517,4651.2,4679.2,4860.9,5007.8,5141.2,5252.4,5322.2,5484.7,5619.3,5849.3,5979.4,6059.6,6126.6,6337.7,6506.2,6703.8,6834.8,6911.8,6985.1,7146.2,7308.8,7453.5,7575.8,7642,7809.4,7966.1,8119.6,8302.8,8451.7,8620.9,8783.8,8940.5,9076.7,9152.6,9224.6,9385.8,9563.8,9709.3,9831.8,9901.8,10068,10233,10387,10568,10758,10928,11090,11254,11391,11469,11540,11714,11888,12027,12166,12284,12357,12487,12514,12659,12737,12874,12946,13095,13201,13366,13502,13584,13652,13914,14075,14228,14408,14542,14679,14758,14829
