i,l,l,r,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,l,e,e,a,b
1018.1,1167.4,1377.1,1548.4,1718.6,1863.5,1985.8,2121.1,2247.3,2322,2505.9,2704.3,2848,2998.1,3140.7,3213.1,3388,3483.2,3597.2,3731.8,3864.9,3938.2,4081.9,4296,4465.2,4607,4733.3,4808.4,5000.7,5183.5,5410.6,5620.5,5786.2,5953.4,6096.3,6222.4,6298.8
1049.9,1246.9,1424.5,1591.5,1775.7,1914.6,2085.7,2221.4,2294.8,2364.8,2564.3,2771,2920.1,3071,3190.4,3261.2,3423.3,3529.8,3695.3,3828.8,3910.9,3982.9,4144.6,4362.3,4572,4709,4786.6,4856,5072.4,5270.7,5432.9,5657.3,5820.8,6060.6,6187.5,6271.2,6348.3
