i,i,i,r,i,r,l,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,i,i,r,e,e,a,b,r,i,l,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,e,e,a,b,r,n
1994.4,2631.3,2831.1,3059.6,3307.3,3469.2,3652.8,3800,3920.7,4059.3,4180.7,4251.7,4425,4615.3,4773.2,4911,4988.7,5127.9,5301.9,5444.3,5571.9,5693.8,5770.5,5906.4,6073.9,6249.8,6384.6,6504.2,6580.9,6718.2,6890.1,7034.5,7174.8,7299.9,7378,7525.4,7611.2,7722.5,7861.6,7981.6,8059.7,8210.5,8389,8528.6,8666.8,8795.5,8873.1,9008,9181.2,9360,9491.6,9612.4,9748.5,9874.8,9947.2,10073,10259,10390,10522,10601,10772,10861,10975,11114,11234,11312,11452,11626,11773,11909,12041,12120,12256,12443,12519,12638,12716,13076,13236,13399,13500,13616,13750,13868,13946,14089,14360,14511,14693,14878,15009,15132,15214,15359,15537,15672,15810,15890,16062,16153,16270,16406,16527,16608,16774,16953,17102,17260,17395,17528,17606,17740,17934
2033.8,2688,2877.7,3117.8,3360.7,3534.5,3721.4,3864.9,4029.8,4160.9,4237.6,4310.8,4509.2,4685,4843.8,4978.3,5049.1,5215,5377,5517.4,5645.3,5762.8,5833.8,5991.6,6141.8,6351.2,6485,6571.1,6641.2,6808,6964.5,7107.2,7247.5,7366,7441.1,7577.4,7674,7833,7958.6,8045.2,8119.3,8293.4,8461.6,8603.6,8740.9,8860.2,8936.5,9100.6,9247.4,9414.6,9553.9,9719.2,9851.4,9934.6,10008,10154,10332,10464,10588,10667,10833,10931,11080,11213,11305,11375,11536,11702,11850,11987,12107,12185,12341,12497,12562,12705,12777,13134,13282,13458,13560,13719,13851,13936,14012,14172,14418,14582,14751,14945,15119,15205,15279,15437,15609,15750,15880,15957,16122,16219,16375,16507,16588,16669,16865,17029,17179,17361,17497,17598,17672,17819,18007
