r,r,r,i,i,r,e,a,b,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,r,e,e,a,b
1029.9,1199.2,1377,1556,1729.1,1872.3,1993.5,2120.2,2191.5,2321.8,2507.9,2637.7,2765.5,2891.5,3023.7,3093.2,3246.4,3338.2,3450.7,3587,3715.2,3785.7,3936.4,4107.8,4251.1,4385.8,4510.2,4581.2,4713.6,4890.8,4957.3,5085.7,5155.5,5314.9,5410.4,5524.4,5665,5799,5924.9,5998,6116.1,6304.9,6441.4,6570.3,6642.4,6784.2,6954.2,7122.5,7256.7,7375.5,7512.2,7637.2,7710.3,7861.3,8022.7,8156.7,8291.5,8363,8506.8,8604.2,8718.9,8860.5,8986.4,9058.6,9204.1,9373,9445.3,9570.8,9641.2,9816.5,9903,10015,10156,10283,10358,10518,10688,10830,10964,11093,11223,11295,11435,11600,11760,11892,12017,12092,12242,12422,12550,12687,12820,12893,13094,13279,13418,13557,13628,13783,13948,14118,14259,14385,14459,14606,14790,14931,15050,15187,15312,15386
1083.5,1253.2,1431.5,1591.7,1761.7,1916.9,2091.4,2174.3,2240.2,2398.8,2576.4,2707.7,2833.7,2958.8,3068.2,3144.2,3285,3383.7,3553.3,3687.4,3767.2,3837.4,4001.2,4175.2,4356.5,4484.7,4562.4,4632.5,4774.6,4917.1,4987.5,5138.7,5206.7,5359.4,5457.8,5631.1,5766.7,5904.8,5981.5,6049.7,6195.8,6374.2,6510.8,6620.5,6695.5,6853.1,7010.8,7160.9,7307.7,7474.8,7605.7,7693.6,7758,7924.1,8090.8,8224.4,8341.1,8412.4,8552.8,8662.1,8823.6,8963,9040.3,9110.3,9272,9408.9,9480.9,9622.6,9693.4,9854.4,9959,10122,10260,10344,10409,10593,10759,10902,11035,11165,11277,11348,11490,11651,11866,11995,12073,12139,12305,12493,12628,12756,12871,12942,13164,13348,13488,13611,13680,13844,13998,14220,14359,14445,14508,14675,14851,14987,15160,15289,15369,15435
