l,i,i,r,r,r,i,r,l,i,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b
1007,1520.8,1987.9,2146.7,2323.2,2497.5,2680.3,2820,2971.2,3095.6,3216.4,3356.3,3479.4,3552,3715.9,3881.2,4028.7,4166.2,4284.6,4362.1,4506.5,4673.9,4805.3,4936.2,5009.5,5167,5340.3,5505.9,5631.7,5753.7,5893.2,6018,6093.1,6250.8,6422.5,6560.8,6696.9,6770.2,6918.9,7104.1,7177.3,7294.5,7372.2,7558.2,7652.8,7769.9,7942.1,8064.1,8143.8,8489.3,8661,8780.5,8953.4,9090.2,9214.9,9359.2,9488.4,9562.6,9747.3,9944.9,10082,10213,10293,10444,10654,10869,11005,11129,11206
1051,1570.9,2036.6,2208.6,2382.1,2557.4,2730.5,2878.6,3031,3151.9,3326.9,3460,3534.9,3606.6,3787.4,3953.8,4139.9,4266,4339.9,4409.5,4581.2,4745.2,4879.6,4993.1,5060,5237.4,5399.1,5543.2,5690.5,5863.7,5993.8,6078.1,6145.4,6322.2,6496.6,6629.7,6751.6,6818.6,6987.7,7146.9,7218.6,7354.4,7427.8,7597.6,7707.1,7873.1,8042.7,8127,8195.2,8536.7,8727,8835.5,9001.7,9147.5,9326.7,9461.1,9545.2,9618.9,9822.2,10018,10156,10271,10345,10520,10713,10974,11097,11189,11258
