r,l,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,l,l,l,i
1025.1,1200.7,1224.8,1377.5,1541.4,1710.7,1854.4,1977,2125.2,2243.6,2316.3,2451,2645,2786.4,2919.1,3055.2,3127.1,3266.6,3588.9,3728.7,3856.8,3930,4074.7,4249.7,4389.6,4520,4591.4,4744.3,4924.1,4986.8,5109.5,5180.6,5329.1,5511.3,5688.9,5864.1,6055.2
1085,1223.8,1254.3,1414.2,1600.7,1747.7,1910.2,2077.2,2210,2295.4,2362.1,2516.2,2710.5,2856.3,2992.9,3105.3,3178.3,3329.6,3695.8,3829.5,3908.8,3974.6,4139.6,4317.8,4457.5,4565.6,4634.6,4809.8,4944.8,5024.3,5160.1,5228.8,5394.2,5564.6,5721.1,5920.7,6087.4
