l,l,l,l,l,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,l,i,l,i,i,r,e,e,a,b,r,i,i,i,i,r,e,e,a,b,r,n,l,i,i,i,r,e,e,a,b,r,n,l
1114.9,1296.3,1458.4,1628.2,1810.3,1959.9,2145.2,2322.4,2506.4,2691.8,2861,3003.9,3126.3,3198.7,3353.2,3533.9,3676.4,3809.2,3937.1,4015.8,4155.6,4326.2,4394.7,4512.8,4589.7,4727.6,4815.8,4933.8,5075.6,5202.8,5275.2,5423.8,5593.4,5730.6,5863.1,5940.3,6076.6,6244.7,6406.1,6560.9,6679,6800.2,6940,7060.7,7135,7277.4,7446.9,7584,7721.8,7846.1,7923.6,8052.4,8231.3,8382.9,8518.3,8636.2,8714.8,8875.5,9051.4,9194.2,9336.9,9460.9,9534.6,9681.9,9860.2,9989.8,10117,10242,10321,10446,10540,10663,10799,10925,10998,11149,11321,11485,11649,11819,12003,12159,12253,12371,12510,12635,12710,12861,13157,13300,13452,13596,13733,13855,13995,14121,14196,14316,14511,14699,14853,15009,15142,15235,15354,15493,15621,15696,15835,16013,16217
1157.9,1341.5,1513.7,1686.7,1873.7,2019.2,2202,2381.8,2567.6,2752.3,2965.5,3108,3186.3,3255.7,3434.3,3605.7,3747.5,3881.3,4001.5,4075.8,4233.2,4365.6,4438.2,4574.5,4653.9,4778.7,4869.1,5038.3,5178.6,5258.2,5331.9,5492.2,5664.1,5798.9,5924.6,5999.2,6161.8,6307.4,6451.8,6612.5,6741.5,6904.2,7039.2,7122.2,7182.9,7350.1,7518.8,7653.8,7791.1,7905.7,7984.2,8129.8,8292.3,8489.4,8619.5,8702,8775.1,8958.8,9110.1,9306.6,9440.3,9522.8,9595.1,9761.6,9931.2,10061,10191,10309,10384,10493,10599,10769,10898,10985,11055,11228,11395,11552,11700,11890,12060,12211,12317,12482,12613,12696,12763,12942,13202,13353,13509,13653,13796,13965,14093,14180,14251,14396,14582,14767,14905,15067,15195,15299,15459,15598,15681,15753,15917,16091,16281
