i,r,l,l,l,r,r,l,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,l,i,i,l,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b
1366.8,1582.4,1772.7,1963.9,2131.9,2270.5,2453.5,2625.3,2963.5,3074.5,3210.9,3324.2,3393.7,3584.3,3772.4,3930.4,4072.8,4140.9,4288.5,4474.1,4612.7,4741.1,4809.4,4986.3,5073.4,5184.6,5317.6,5435.5,5510.7,5663.8,5862.7,6049.6,6182.1,6303.3,6374.5,6519.6,6697.2,6878.3,7011.4,7132.7,7203.2,7349.4,7531.7,7720.9,7892.5,8016.2,8132.5,8262.7,8385.6,8458.4,8670.1,8856.7,9006.5,9138.2,9274.6,9343.4,9496.4,9587.7,9700.7,9836,9958.7,10032
1401.7,1633.9,1830.5,2023.6,2182.8,2310.1,2504.4,2675.3,3011.4,3173.8,3295.8,3368.1,3440.9,3644.9,3839.7,3993.6,4119.9,4192.5,4344.8,4536.7,4677,4789.7,4861.7,5018.8,5115.2,5286.6,5409.4,5487.9,5559,5718.8,5920.7,6149.9,6277.4,6353.3,6422.7,6578.6,6760.6,6975.7,7102.9,7184,7256.8,7415.2,7587.3,7756.4,7937.6,8066.2,8234.7,8351.4,8436.3,8502.7,8733.2,8924.9,9073.1,9209.4,9323.6,9392.4,9544.7,9637.4,9797.7,9929.1,10012,10077
