r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,e,e,a,b,r,l,e,e,a,b,r,l,l,l,i,i,i,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,r,l
1115.6,1322.9,1509.6,1668.8,1863.6,1988.7,2123.8,2247.9,2320.3,2509.1,2684.1,2827.8,2959.1,3091.8,3163.8,3319.2,3486.8,3634.2,3772.3,3896,3968.2,4113.4,4283.3,4422.3,4557.9,4696.5,4767,4903,5080.8,5251.6,5393.3,5522.2,5647.9,5774.2,5846.8,6008.2,6173.2,6314.9,6452.1,6607.3,6742.3,6867.6,6940.4,7088.4,7260.8,7435.7,7575.8,7703.5,7776,7920.3,8095.9,8259.8,8406,8576.7,8747,8870.5,8991.5,9128.8,9257,9330.3,9465.6,9635,9780.7,9912.5,10046,10119,10261,10428,10603,10743,10869,10942,11092,11262,11394,11544,11683,11757,11892,12065,12235,12414,12569,12690,12826,12953,13028,13244,13430,13583,13723,13872,13944,14120,14296,14461,14615,14798
1171.1,1376.5,1562.1,1727.7,1914.4,2088.3,2218.1,2297.6,2366.3,2576.4,2754.7,2898.9,3026.1,3145.6,3216.8,3378.2,3542,3738.6,3865.1,3946.2,4019.7,4183.9,4350.5,4498.3,4631.9,4744.2,4817.4,4980.1,5142.3,5294.9,5447.2,5615.5,5738.7,5824.5,5897.6,6079.8,6240.9,6380.6,6521,6718.4,6840.6,6919.9,6986.9,7158.6,7320.2,7541.3,7673.2,7754.7,7826.1,7992.5,8156,8321.7,8469.2,8626.2,8788.8,8925.2,9092.7,9227,9307.8,9383.3,9538.8,9709.9,9853.1,9987.1,10100,10173,10329,10482,10710,10840,10920,10989,11159,11334,11469,11613,11734,11809,11960,12124,12272,12462,12625,12791,12931,13004,13079,13310,13502,13655,13797,13923,13993,14193,14357,14529,14691,14857
