i,i,i,r,r,e,e,a,b,r,n,n,e,a,i,r,e,e,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b
1014.4,1215.8,1458.7,1635.1,1812.4,1959.9,2094.9,2211.2,2279,2460.2,2649.5,2797.1,2955.4,3089.3,3221.8,3313.4,3431,3561.6,3677.2,3746.5,3930.6,4131.5,4303.4,4451.5,4564.2,4634.9,4833.4,5006.9,5154.8,5292.2,5413.1,5484.2,5693.6,5879.1,6032.6,6168.6,6335.3,6403.8
1051.2,1246.4,1489.9,1681.1,1858.7,2048.4,2176.2,2260.8,2329.4,2526.5,2711.4,2859.7,3054.5,3153.7,3259.4,3359.5,3523.3,3656.5,3727.2,3798.8,3990.5,4199,4408.7,4536.6,4616.4,4687.2,4900.1,5080,5254.6,5389.7,5464.1,5532.2,5766.9,5939.5,6101.9,6236.2,6383.3,6456.3
