r,r,r,i,l,e,a,b,r,n,n,n,e,e,a,b,r,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,v,x,a,b,i,i,l,i,l,r,e,e,a,b,r
1129.8,1310.7,1484.2,1679.9,1837.2,1998.2,2121.6,2191.8,2369.8,2556.4,2690.3,2834.4,2980.2,3112.5,3231.9,3307.7,3466.5,3788.4,3966.9,4118.1,4285.4,4425.5,4545.6,4683,4804.5,4877.2,5019.9,5190.6,5328.7,5460.1,5585.3,5655.5,5830.3,5916.6,6030.2,6167.5,6285.6,6361.3,6519,6690.8,6838.2,6977.2,7108.6,7179.2,7329.9,7420.5,7535.2,7675.5,7809.4,7936.8,8008.6,8146.4,8348.1,8417,8541.2,8616,8942.8,9102.3,9266,9453.2,9628,9770.1,9889.8,10027,10153,10225,10362
1184.9,1367,1541.1,1719.3,1895,2096.6,2171.5,2242.8,2442.3,2622.8,2756.9,2901.2,3081.2,3202.4,3285.2,3356,3528.5,3826.2,4005.2,4176.8,4324.8,4480.1,4643.8,4780.3,4853.7,4925.4,5086.5,5259.8,5394.3,5524.8,5634.4,5704.7,5866.9,5969.5,6123.3,6256,6339.2,6411.2,6581.8,6760.4,6908.2,7048.6,7155.6,7228,7372.8,7475.6,7627.9,7777.3,7905.5,7985.5,8055.7,8215.2,8387.1,8457.9,8594.3,8665.5,8982.3,9141.2,9316.5,9503.1,9688.6,9826,9992.5,10118,10202,10268,10428
