l,l,l,l,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1005,1187.2,1337,1501.2,1635,1800.7,1974.1,2153.2,2316.9,2451.6,2575.9,2650.3,2790.5,2962.1,3101.4,3232.8,3361.9,3434.6,3566.4,3729.8,3793,3921.7,3994.6,4156.4,4251.8,4368.4,4514,4632.4,4710,4847.5,5023.6,5163.5,5305.5,5436.1,5507.9,5687.8,5862.7,5929.1,6063.9,6136.2,6298.9,6389.5,6505.6,6644.1,6764.5,6842.3,6996.7,7178.4,7333.4,7475.7,7619.5,7694.2,7868.2,7966,8082.6,8224.2,8345.8,8424.5
1048.8,1239,1402.5,1559.3,1689.4,1855.6,2031.7,2208.9,2413.5,2555.2,2629.3,2700.9,2856.1,3032.9,3170.8,3305.1,3413.1,3483.8,3631.5,3765.9,3840.5,3974.2,4047.3,4200.7,4301.4,4472.9,4605.8,4694.8,4756.5,4913.7,5096.7,5239.1,5375.9,5487.8,5558.7,5753.8,5899.6,5972,6117.3,6185.5,6341.1,6441.6,6612.6,6748.9,6821.8,6889.1,7059.3,7247.3,7405.7,7550.2,7674.3,7742.1,7914.8,8019,8188.3,8316.8,8404.3,8471.7
