r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,e,e,a,b,i,r,e,e,a,b
1072.9,1250,1447,1629.9,1821.4,1995,2131,2243.5,2315.5,2467.9,2638,2774.1,2925.1,3057.3,3126.6,3271.7,3446.7,3508.6,3622.2,3691.5,3889.5,3976.9,4096.5,4231.4,4343.7,4414.3,4570.6,4766.4,4912.5,5066.2,5198.9,5324.1,5396.2,5591.8,5679.3,5790.9,5928.8,6052.1,6124.2
1128.9,1306.2,1506.2,1687.7,1878.8,2085.3,2220.7,2296.9,2366.8,2529.8,2706,2840.7,2993.5,3109,3181.9,3336.8,3473.4,3544.9,3667.8,3737.7,3927,4026.1,4187.8,4317.5,4397,4460.8,4631.1,4831,4979.3,5169.8,5295.3,5379.5,5448.2,5631.5,5730.4,5895.4,6025.8,6106.1,6171
