l,i,l,r,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r,e,e,a,b,r,i,i,l,e,e,a,b,i,l,i,r,e,a,b
1013,1201.8,1355.5,1498.5,1687.8,1861.3,1986.5,2122.2,2240.6,2313.3,2489.5,2669.2,2833.9,2967.8,3113.4,3181.5,3350.8,3438,3547.6,3680.6,3802.6,3873.1,4028.2,4214.3,4405.6,4540.1,4664.4,4734.5,4890.2,5087.2,5158.3,5293.4,5361.9,5540.3,5628.7,5744.4,5882.3,6004.5,6076,6223.7,6403,6546.5,6717.7,6853.2,6973.9,7061.2,7195.4,7367.8,7502.9,7630.2,7702,7860.6,8044.3,8223.3,8385.9,8549.3,8679.9,8797.6,8926.9,9054.2,9125.6,9309.7,9572,9714.5,9856.7,10029,10172,10294,10367,10653,10806,10982,11133,11252,11383,11457
1068.4,1236.4,1416.8,1553.8,1743.4,1909.7,2088.4,2217.2,2291.8,2360.8,2550.2,2737.9,2902.7,3033.5,3161.9,3230.4,3374.4,3484.2,3648.2,3769.9,3852.7,3922.6,4089.1,4278.4,4509.3,4636.8,4712.8,4783.6,4954.1,5121.7,5193.6,5342.1,5410.1,5572,5675.9,5842.9,5977.5,6057,6125,6286.1,6465.3,6616.5,6821.9,6950.6,7026.9,7089.4,7261.7,7433.6,7566.7,7680.7,7746.5,7928,8101.5,8253.9,8441.8,8588.6,8730,8895.7,9022.9,9105.4,9176.2,9380.4,9607.1,9756.5,9914,10137,10271,10346,10412,10690,10865,11010,11190,11354,11430,11501
