r,r,r,r,r,e,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,n,e,e,a,b,r,l,i,l,i,r,e,e,a,b,r,l,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,e,e,a,b,r,l,i,l,e,e,a,b,r,l
1092.2,1291.7,1478.9,1673,1838.8,1994.1,2117.2,2185.9,2358.8,2532.1,2687.5,2825.6,2941.1,3010.1,3159.8,3325.7,3471.2,3605.4,3727.6,3796.5,3946.9,4116.3,4274.9,4406.8,4529,4600.2,4744.1,4911,4973.8,5095.6,5165,5415.4,5527.6,5664.6,5786,5856.8,6003.4,6178,6313.5,6446.9,6570.2,6640.7,6812.7,6899,7014.1,7149.8,7279.4,7349.5,7494.2,7668.6,7813.3,7947.2,8017.4,8152,8332.8,8466.8,8593.3,8663.6,8813.2,8905.4,9019.8,9160.9,9290.7,9363,9509.1,9684.7,9856.9,10016,10175,10322,10436,10569,10693,10765,10910,11032,11074,11221,11348,11419,11593,11680,11793,11928,12049,12123,12284,12467,12609,12745,12817,12961,13127,13312,13454,13571,13703,13829,13901,14083,14252,14394,14529,14663,14735,14889,15112,15246,15372,15446,15593,15774,15956,16115,16279,16413,16536,16612,16767,16959
1149.6,1346.6,1537,1726.1,1888.2,2085.4,2167.9,2236.8,2425.9,2589.3,2792.2,2915.2,2991.4,3062.8,3210.7,3393,3570.6,3700.7,3780.5,3845.8,4003.8,4184.7,4376.3,4505.8,4574.1,4651.6,4803.7,4943,5009.6,5147.9,5206.8,5469.9,5631.9,5759.4,5833.2,5906,6065,6248.1,6385.1,6516.2,6623.7,6694.4,6849.5,6948.9,7119.8,7251,7334.7,7401.7,7564.8,7739.1,7882.1,8001.1,8069.2,8219.1,8403.4,8534.1,8644.8,8708.2,8859.7,8956.5,9126.9,9260.2,9345.4,9415.6,9574.4,9740.7,9893,10081,10221,10375,10540,10669,10749,10815,10971,11052,11144,11292,11402,11471,11626,11729,11896,12026,12107,12174,12351,12538,12679,12797,12867,13029,13184,13359,13509,13677,13802,13882,13953,14148,14324,14470,14599,14716,14789,14953,15211,15346,15430,15499,15638,15833,15994,16171,16384,16516,16596,16668,16832,17023
