i,i,r,l,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,l,i,i,r,e,e,a,b,r,n,n,a,b
1341.4,1779.8,1980.6,2157.1,2338.3,2523.7,2707.4,2904,3047.8,3176,3319.9,3439.5,3517.5,3682.9,3863.3,4016.8,4159.2,4294.7,4367.9,4509.3,4720.6,4892.1,5022,5145.2,5288.8,5412.4,5486.8,5648.3,5825.8,5970.2,6096.3,6176.9,6340.9,6435.8,6557.3,6699.8,6824.2,6900.7,7038.4,7223.8,7389.9,7524.7,7649.4,7730.4,7889.9,8084.7,8227.3,8362.3,8435.5,8585.1,8760.2,8931.7,9063.4,9193.2,9331.4,9471,9599.9,9678.1,9842.8,10030,10177,10313,10389,10534,10711,10869,11011,11140,11216,11364,11572,11718,11856,11992,12064,12214,12404,12573,12718,12843,12990,13120,13197,13364,13548,13726,13916,14076,14197,14325,14467,14595,14675,14855,15058,15225,15372,15446
1385.9,1821.1,2045.2,2220.9,2403.8,2593.3,2772.4,2969.9,3109.8,3279.7,3427.6,3500.6,3571.8,3759.6,3941.7,4093.4,4234.1,4349.9,4427.8,4595.1,4782,4940.6,5082.3,5249.9,5393.4,5471.7,5546.7,5729.6,5903.3,6045.5,6158.4,6233.6,6393,6502.5,6665.2,6796.5,6884.7,6959.5,7123,7302.3,7503.1,7629,7713.8,7790.3,7964.8,8158.1,8300.8,8418.9,8492.1,8665.2,8813.5,8981.4,9124.2,9300.4,9435.3,9571,9663.3,9734.9,9924.1,10110,10253,10371,10448,10614,10788,10978,11122,11201,11275,11442,11648,11795,11935,12045,12125,12294,12464,12624,12780,12957,13096,13181,13249,13451,13622,13792,13978,14130,14257,14442,14568,14655,14728,14935,15139,15300,15431,15507
