i,r,r,r,r,r,r,e,a,b,r,n,n,n,a,b,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1355.7,1563.1,1768.1,1973.1,2170.6,2360.9,2541.4,2656.8,2787.3,2857.5,3049.4,3230.4,3379,3518.9,3663.9,3733.5,3889.2,4121,4257.6,4379.4,4451.2,4641.2,4853,5000,5151.7,5312.3,5381.5,5608.7,5699,5815.2,5949.4,6074,6145.7
1393.4,1616.7,1826.7,2030,2224.8,2414.7,2592.7,2756,2836.5,2904.5,3117,3300.8,3450.2,3588.7,3713.2,3786.7,3963.8,4218.8,4356.7,4432.6,4503.1,4708.7,4920,5069.8,5223,5361.6,5432.2,5648.1,5754.9,5914.1,6046.5,6128.3,6198.4
