l,l,l,l,l,l,l,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,l,r,e,e,a,b,r,n,n,n,n,a,b,r,l,l,i
263.54,459.91,604.6,777.71,971.49,1127.6,1283.8,1428,1622.8,1792.1,1964.1,2132.9,2296.9,2430.3,2556.6,2628,2794,2964.8,3103.8,3241.2,3386.9,3439.9,3596.2,3772,3920.3,4053.3,4124.3,4274,4438.4,4584.2,4722.4,4845.8,4918.3,5062.6,5243.1,5378.9,5506.1,5582.3,5722.8,5905.8,6010.1,6188.9,6352.2,6480.4,6604.5,6741.7,6879.4,6953,7098,7275.1,7413.6,7543.8,7616.1,7766.5,7945.2,8105.8,8240.1,8366.2,8439.2,8607,8779.4,8927.9,9067.8,9145,9297.4,9484,9649.1,9811.8,9912.1,10028,10168,10300,10372,10540,10714,10859,10978,11117,11240,11314,11514,11718,11850,11984,12123,12265,12343,12483,12664,12825,12993
320.38,521.92,674.36,860.39,1041.2,1187.8,1341.1,1489.3,1674.2,1846,2018.3,2184.4,2390.6,2522.2,2610,2681.3,2859.7,3035.9,3172.6,3306.9,3415.9,3489.5,3670.1,3841.8,3987.8,4101.3,4172,4339.8,4490,4679.8,4819.4,4895.7,4968.8,5131.2,5310.6,5446,5563.2,5635.6,5793.7,5949.2,6051.2,6242.6,6389.8,6535.5,6709,6843.5,6931.1,7002.7,7164.8,7343.6,7481.4,7598.1,7671.8,7837.6,8001.2,8204.2,8342.2,8416.2,8486.8,8679.8,8853.3,8997.2,9129.1,9195.4,9368.6,9541.6,9699.2,9860.2,9964.8,10127,10266,10352,10422,10616,10776,10917,11089,11214,11293,11361,11584,11785,11919,12052,12192,12324,12396,12556,12721,12886,13032
