r,l,r,l,r,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,n,n,n,a,b,r,l,l,a,b,i,r,e,e,a,b
1062.4,1235.2,1357,1533.3,1649.2,1693.8,1831.9,1967.2,2098.7,2171,2341.2,2426.2,2543,2678.5,2801.6,2873.8,3045.1,3214.5,3345.8,3480.2,3601.6,3679.8,3832.8,4015.3,4084.4,4201.2,4276.6,4434.4,4527.9,4641.3,4782.2,4914.1,4986.3,5133.7,5318.2,5454.4,5590.8,5721.3,5799.5,6031.8,6119.8,6233.9,6370.1,6494.3,6569.3,6740.9,6923.9,7065.3,7204.8,7276.8,7418.1,7594.9,7658.4,7797.8,7872.5,8077.6,8163.3,8280.7,8417.8,8539.6,8613.2,8809.4,8852.6,8993.1,9135.2,9274.4,9405.8,9478.3,9628.8,9807.3,9871,9990.7,10062,10270,10357,10475,10616,10742,10816
1132.8,1288.4,1430.1,1581.7,1692.7,1720.8,1897,2038.8,2146.2,2217.3,2378.9,2480.3,2643.6,2777.2,2856.8,2922,3114.7,3289.6,3416.7,3549.3,3661.4,3730.8,3904.8,4047.3,4123.4,4259.8,4328.3,4476.6,4580.9,4740.2,4879.7,4964.6,5037.9,5207.3,5391.7,5523.8,5658.5,5781.4,5846.6,6071,6175.1,6335.5,6468.5,6545.4,6620.8,6809.9,6991.3,7133.9,7252.5,7327.4,7493.8,7623.3,7697.6,7857.2,7925.3,8115.3,8218.8,8387.2,8515.9,8592.8,8665.6,8850.8,8878.6,9064.9,9205.8,9345.2,9454,9525.7,9701.2,9832.2,9911.2,10044,10114,10308,10413,10583,10712,10794,10871
