i,l,l,l,r,r,l,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r
1171.9,1631.2,1800.9,1954.7,2117.4,2322.5,2499.3,2649.9,2851.1,2983.8,3108.2,3178.1,3324.8,3507.1,3649.4,3785.6,3855.8,4014.3,4195.2,4332.4,4463.1,4533.7,4677.1,4843,4981.4,5117.4,5186.6,5364.6,5453.6,5567,5706.8,5829.6,5900.7,6050.2,6229.8,6372.8,6508.4,6639.3,6710,6857.7,7038,7099.1,7247.2,7317.3,7538.2,7623.7,7738,7873.9,8001.9,8071,8241.3
1196.8,1663.5,1854.6,2015,2176.3,2378.2,2555,2702.6,2953.3,3076.1,3156.3,3227.2,3390,3577.1,3717.8,3833.6,3906.8,4083,4262.9,4398.4,4513.2,4584.1,4737.4,4911.9,5046.8,5165.5,5240,5401.3,5500.9,5669.3,5800,5876.2,5947.1,6111.8,6297.8,6440.7,6576.8,6686.6,6763.5,6920.5,7058.5,7138.4,7297.3,7367.7,7574.6,7673,7842.4,7972.5,8053.3,8123.4,8309.4
