r,l,i,l,r,e,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,l,i,l,i,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,i,i,r,i,l,e,e,a,b,r,n,l,i,i
1181.5,1372.9,1551.3,1719.6,1877,1996.7,2134.3,2264.1,2335.2,2523.9,2705.2,2860.7,3013.1,3150.5,3275.7,3348.1,3524.9,3721.4,3856.4,3997,4123.1,4196.4,4343.2,4513.4,4579.5,4707.2,4777.4,5040.4,5157.6,5298.8,5425.4,5497.2,5637.2,5812,5949.4,6078.8,6215.4,6286.8,6429.4,6603.8,6665.2,6796.3,6867.5,7028.2,7123.4,7242.7,7380.7,7506,7580.8,7721.5,7907.5,8051.8,8194.2,8266.2,8453.8,8626.9,8765.4,8894.8,8968.5,9115.2,9293.2,9358.6,9483.3,9553.9,9707.9,9801.1,9916.3,10055,10182,10256,10414,10587,10791,10952,11123,11291,11461,11635,11782,11902,12038,12162,12237,12425,12597,12739,12887,12959,13142,13235,13350,13488,13609,13688,14013,14181,14354,14522,14677,14835,14971,15103,15177,15326,15515,15702,15915,16105
1239.4,1433.2,1591.6,1789.8,1929.3,2099.9,2229.2,2315.2,2385.8,2595.3,2778.6,2935.3,3115.9,3248.6,3328.2,3400.3,3593.4,3790.7,3926,4068.9,4175.3,4250,4408.2,4547.6,4625.6,4758.5,4829.4,5095.1,5261.6,5393.8,5477.8,5549.1,5707.7,5881.7,6022.2,6147.7,6269.5,6340.8,6496.3,6630.2,6710.8,6847.2,6921.6,7071.2,7173,7340.6,7481,7561.8,7628.1,7786.6,7980.7,8122,8247.4,8318.2,8528.7,8696.4,8840,8948,9024.2,9178.7,9317.6,9399.6,9534.6,9607.9,9754.4,9859.2,10020,10152,10238,10307,10480,10659,10849,10997,11187,11331,11522,11683,11837,12005,12139,12220,12282,12493,12670,12811,12940,13015,13188,13291,13457,13586,13669,13738,14060,14225,14397,14561,14739,14939,15078,15157,15233,15394,15590,15764,15954,16149
