i,i,r,r,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,n,e,e,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,e,e,e,a,b,r,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,i,i,l,i,r,e,a,b,r,n,n,n,n,a,b,r,n,l,e,e,a,b,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,r,l,i,i,l,i,r,e,a,b
1174.5,1361.7,1531.6,1714.7,1867.7,1997.3,2122.8,2190.2,2353.9,2522.3,2668.5,2808.8,2946.9,3015.2,3192.9,3278.5,3391.5,3528.2,3647.8,3719,3912.7,4090.2,4230.8,4365.8,4497.7,4567.3,4723.6,4911.1,5072.4,5207.5,5333,5403.6,5557.4,5747.4,5908.9,6080.6,6260.1,6405.4,6497.5,6610.9,6743,6864.7,6936.4,7155.1,7327.2,7471.2,7609,7678.6,7827.2,8004.2,8172.8,8309.3,8432.7,8504.9,8701.9,8877,9011.6,9142.6,9218.6,9364.1,9555.2,9741.8,9879.2,10015,10138,10211,10367,10582,10755,10899,11038,11108,11263,11454,11533,11652,11728,11908,11994,12108,12245,12367,12443,12587,12783,12920,13064,13136,13339,13434,13550,13692,13820,13893,14051,14240,14374,14512,14584,14877,15032,15175,15296,15437,15563,15634,15791,15980,16127,16266,16338,16498,16687,16852,17023,17203,17359,17480,17602,17739,17869,17944,18099,18301,18452,18595,18732,18805,18974,19152,19217,19356,19429,19646,19736,19853,19995,20123,20198,20366,20549,20699,20834,20959,21033,21552,21715,21891,22066,22241,22374,22494,22626,22699,22860,23036,23179,23324,23464,23604,23676,23833,24015,24178,24348,24485,24613,24687,25028,25196,25364,25529,25648,25786,25912,25988,26178,26353,26503,26656,26798,26878,27030,27067,27269,27444,27675,27868,28044,28183,28304,28439,28513
1212.7,1400.7,1585.9,1767.4,1923.9,2082.8,2168.2,2239.7,2416.2,2589.8,2737,2874.7,2995.1,3063.4,3229.8,3331.1,3490.8,3622.2,3698.8,3764,3979.1,4155.3,4295.6,4432.6,4548,4618,4793.5,4976.4,5176.2,5305.5,5384.2,5453.8,5625.6,5800,5955.3,6142.2,6299.3,6441.6,6548.2,6713.8,6836.8,6913,6983.3,7226.2,7395,7535.6,7658,7733.6,7895.7,8063.9,8269.9,8409.4,8485.1,8552,8776.9,8942.5,9079,9197.8,9273,9433.4,9611.8,9847.8,9978.3,10115,10190,10256,10434,10655,10826,10964,11085,11161,11326,11505,11571,11707,11780,11947,12046,12217,12336,12422,12493,12661,12855,12989,13114,13183,13381,13488,13654,13789,13870,13941,14120,14311,14446,14562,14640,14918,15073,15231,15394,15532,15613,15682,15861,16046,16194,16317,16390,16572,16742,16900,17087,17246,17399,17536,17708,17840,17922,17992,18162,18368,18522,18666,18782,18858,19039,19182,19256,19408,19478,19686,19795,19954,20098,20178,20249,20435,20620,20771,20904,21011,21082,21591,21761,21936,22128,22279,22429,22596,22680,22748,22929,23105,23250,23395,23532,23659,23730,23904,24083,24241,24457,24576,24665,24735,25066,25239,25414,25583,25755,25888,25967,26033,26248,26424,26574,26727,26856,26929,27066,27105,27325,27496,27725,27930,28087,28240,28407,28492,28563
