r,r,r,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,n,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,a,b,r,v,x,a,b
1173.1,1371.4,1551.6,1727.6,1867.9,1988,2125.6,2249.4,2320.7,2471,2646.8,2790.6,2927.4,3066.9,3136.9,3326.1,3416.3,3540.5,3678.4,3801.4,3874.1,4013.6,4196,4358.9,4494.4,4565.8,4704.8,4874.5,5038.9,5170.5,5296.3,5366.8,5539.3,5713,5857.3,5999.8,6071.5,6207.6,6381.5,6444.8,6572.8,6644.4,6833.2,6920,7034.9,7187.5,7308.7,7381.4,7530.4,7713.2,7854.9,7999.8,8133.7,8252.6,8324.9,8471.1,8634.5,8699.1,8823.4,8894.9,9078,9166.6,9282.5,9423.3,9541.5,9617.7,9764.8,9946.8,10087,10228,10299,10436,10630,10797,10956,11104,11288,11457,11599,11719,11861,11982,12056,12210,12402,12540,12669,12796,12867,13016,13200,13371,13546,13708,13887,14055,14229,14347,14476,14616,14741,14816,14968,15153,15302,15446,15582,15654,15799,15989,16056,16180,16252,16466,16555,16671,16810,16936,17012,17216,17392,17546,17679,17832,17905,18058,18244,18311,18446,18517,18679,18879,19024,19171,19247,19398,19587,19656,19804,19876
1233.4,1425.1,1610,1765.1,1918.2,2086.1,2227.8,2304.4,2373.6,2532.9,2717.1,2860,2999.2,3116,3188,3367.1,3465.6,3637.2,3772.1,3850.3,3916.8,4079.4,4262.3,4429.4,4545.3,4612.5,4769.4,4919.7,5141.2,5272.8,5348.5,5416.8,5605.7,5783,5928.4,6051.3,6125.2,6275.6,6414.5,6487.4,6625.2,6695,6869,6968.8,7139.8,7283.1,7363.9,7428.2,7597,7782.4,7924.7,8067.7,8204.1,8305.5,8377.9,8536.7,8661,8739.9,8873.8,8941.2,9116.3,9219.5,9382.9,9525.5,9599.8,9669.8,9829.6,10016,10160,10280,10348,10502,10691,10834,11004,11140,11331,11498,11657,11824,11949,12031,12105,12276,12471,12613,12740,12847,12918,13086,13257,13409,13589,13752,13939,14117,14267,14400,14588,14719,14796,14867,15033,15226,15374,15517,15635,15701,15866,16026,16100,16233,16303,16506,16612,16775,16912,16994,17060,17286,17463,17616,17751,17883,17953,18126,18278,18353,18497,18569,18749,18949,19095,19229,19304,19465,19629,19701,19858,19924
