i,r,n,r,r,r,r,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
1211.1,1579.6,1755.1,1970,2187.7,2387,2560.2,2761.1,2934.6,3127.7,3270,3388.8,3458.8,3631.6,3812.4,3952.3,4107.9,4248.5,4318.3,4442.6,4632.3,4695.1,4817.3,4887.6,5076.4,5148.1,5264.6,5399.7,5526.1,5596.7,5742.4,5908.2,6044.3,6171.1,6302.9,6379.2,6525.6,6697.3,6868.5,6997.2,7119.3,7254.6,7381.5,7455.2,7603.9,7778,7931.9,8072.2,8196.7,8268.5,8432.2,8522.2,8637.6,8780.8,8904.8,8977.3,9140.2,9323.6,9471.8,9609.1,9744.1,9815.4,9953,10122,10281,10421,10546,10618,10768,10959,11026,11142,11219,11402,11493,11607,11746,11869,11945,12101,12297,12437,12568,12692,12772,12914,13095,13266,13432,13558,13681,13818,13950,14023,14162,14348,14546,14728,14862,14996,15135,15262,15335,15533,15726,15868,16000,16078,16242,16420,16567,16731,16878,17002,17076,17281,17468,17605,17746,17885,17957,18100,18279,18345,18483,18555,18776,18866,18984,19123,19251,19325
1234,1619.8,1802.5,2022.9,2241.6,2433.5,2618.7,2821.5,2994.8,3227.1,3361.3,3439.1,3511.1,3699.5,3877.2,4023.2,4175.4,4298.9,4371.8,4508.7,4662.3,4733.7,4870,4940.2,5101.7,5201.8,5364.4,5492.2,5576.4,5648.3,5811.8,5974.6,6114.7,6238.6,6361.3,6432.5,6595.6,6750.3,6905.5,7053.2,7221.6,7354.4,7436.1,7506.7,7670.4,7844.6,8031.2,8171.1,8250.2,8321.2,8470.9,8570.8,8736.6,8874.3,8959.5,9028.2,9211.4,9391.7,9543.2,9677.7,9794.6,9866.7,10024,10184,10384,10525,10603,10670,10845,10992,11068,11199,11270,11443,11551,11715,11847,11926,11997,12169,12367,12510,12638,12750,12824,12983,13158,13313,13472,13616,13778,13916,14004,14074,14229,14408,14592,14767,14924,15102,15238,15315,15387,15607,15795,15940,16059,16132,16309,16478,16626,16836,16973,17055,17130,17354,17540,17678,17819,17938,18012,18171,18312,18387,18536,18609,18819,18925,19087,19224,19305,19375
