l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,l,i,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,l,i,r,e,e,a,b,r,n,n,n,a,b,r,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,l,i,l,i,r,e,e,a,b
1266.6,1416.9,1595.4,1752.4,1872.9,1988.3,2121.3,2243.5,2315.1,2451.5,2610.5,2745.2,2876.4,3008.9,3079.3,3214.8,3379.8,3444.2,3560.2,3630.4,3779,3873.4,3984.9,4116.8,4236.3,4311.5,4451.7,4615.2,4757.3,4894.2,5027.3,5098.8,5233,5398.9,5539.7,5672.5,5749.6,5875.2,6056,6078.7,6224.6,6382.3,6472.3,6587.2,6722.5,6846,6919.9,7056.2,7226.1,7373.2,7511.4,7647.2,7779.5,7850.9,7982.1,8155.7,8223.6,8347.5,8418.1,8559.7,8738,8871.6,8999.4,9138.2,9210.9,9380.9,9467.8,9581.8,9717.1,9841.8,9916.6,10091,10265,10414,10549,10701,10773,10915,11087,11261,11396,11522,11594,11745,11935,12121,12310,12466,12587,12725,12850,12924,13125,13306,13445,13582,13723,13796,13935,14181,14314,14386,14578,14672,14790,14925,15053,15127,15274,15459,15650,15795,15921,16055,16182,16257,16427,16615,16797,16958,17168,17331,17456,17593,17714,17793
1317.9,1481.5,1636.3,1793.1,1921.9,2085.8,2216.8,2298.2,2358.4,2513.1,2675.9,2814.5,2940.9,3056.8,3129.5,3276.7,3411.3,3484.7,3609.4,3677,3824,3923.7,4088.3,4212.6,4288.7,4350.2,4516,4683.9,4827.1,4966.8,5076.9,5147.2,5298.3,5471.4,5609.2,5730.5,5800.2,5944.8,6077.6,6105.3,6263,6420.5,6521,6686.6,6816,6897.3,6965,7124.3,7299.4,7447,7583.4,7712.8,7828.9,7896.6,8048.1,8182.3,8263.7,8400.8,8463.1,8624.2,8806.9,8937.3,9071.2,9192.6,9259.7,9418.9,9520.1,9682.3,9817.6,9893.2,9959.1,10163,10338,10486,10620,10752,10821,10984,11144,11364,11499,11577,11639,11812,12004,12183,12347,12521,12689,12822,12903,12975,13196,13376,13516,13650,13776,13845,14001,14223,14366,14433,14622,14721,14891,15020,15108,15171,15342,15518,15687,15853,16026,16160,16236,16304,16499,16673,16843,17020,17212,17388,17557,17694,17772,17839
