i,r,r,r,l,r,l,r,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,l,i,l,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,e,e,a,b,r,n
1796.3,1971,2210.2,2408.8,2617,2775.5,2945.1,3086.7,3278.8,3447.3,3789.2,3956,4073.9,4211.6,4325.2,4395.5,4540.8,4722.2,4857.4,4991.1,5059.5,5198.1,5369.2,5513.3,5645,5768.8,5838.1,5988.2,6179.1,6334.7,6468.4,6596.2,6665.9,6845.4,6936.2,7042.7,7176.1,7309.8,7425.2,7500.3,7656.2,7844.1,8046.9,8179.5,8300.7,8370.6,8541.2,8688.1,8847.3,8989.2,9142.5,9211.2,9388.4,9481.5,9594.6,9728.3,9850.8,9921.4,10065,10249,10412,10556,10625,10769,10949,11124,11259,11381,11452,11610,11782,11926,12054,12125,12280,12375,12489,12625,12759,12830,12994,13165,13331,13504,13598,13712,13848,13970,14045,14208,14391,14552,14690,14762,14920,15103,15248,15385,15512,15589,15737,15907,15973,16109,16179,16348,16437,16549,16684,16810,16886,17060,17250,17400,17533,17662,17734,17929,18026,18140,18278,18401,18477,18640,18822,18966,19103,19175,19325,19503,19695,19876,20012,20130,20264,20336,20497,20679,20844,20979,21051,21197,21381,21564,21697,21819,21893,22383,22558,22738,22911,23004,23118,23258,23384,23457,23610,23794,23937,24087,24159,24331,24505,24658,24790,24924,25057,25130,25318,25493
1827.7,2015.1,2264.4,2461.6,2674.3,2822.8,3000.6,3136.2,3321.6,3504.1,3816.6,4008.1,4170.7,4297.1,4378.7,4443.4,4599.4,4786.7,4921.4,5038.2,5107.2,5241.5,5410.9,5616.5,5739.4,5821.5,5882.4,6027,6245.7,6399.2,6537.1,6644.8,6712.9,6869.4,6979.4,7143.9,7271.4,7400.2,7480.7,7549.5,7712.8,7903.7,8144.1,8272.5,8350.7,8422.1,8576.6,8758.5,8917.6,9055.1,9189.2,9257.9,9417.3,9523.6,9690.2,9819.4,9902.8,9970.2,10130,10314,10481,10604,10677,10837,11014,11227,11355,11428,11499,11643,11853,11997,12104,12173,12321,12423,12593,12727,12812,12881,13058,13221,13366,13541,13647,13813,13940,14028,14095,14254,14462,14620,14740,14812,14990,15174,15314,15455,15569,15642,15803,15940,16012,16158,16231,16382,16486,16655,16784,16868,16934,17125,17318,17469,17601,17712,17786,17956,18075,18246,18384,18457,18531,18685,18892,19037,19154,19230,19385,19560,19727,19915,20063,20239,20315,20386,20563,20746,20909,21028,21104,21263,21438,21665,21801,21878,21944,22424,22614,22777,22949,23057,23229,23350,23438,23505,23678,23863,24009,24138,24211,24397,24567,24719,24890,25021,25107,25177,25383,25562
