i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,l,r,i,i,l
1172.6,1350,1555,1730.4,1871.7,1986.4,2128.2,2242.7,2313.3,2492.1,2676.4,2823,2964,3091.4,3160.9,3310.5,3485.8,3667,3812.8,3925.8,3996.6,4149.4,4334.9,4471.7,4601.4,4738.6,4808.9,4953.3,5121.3,5272.7,5442.7,5516.4,5640.2,5709.8,5885.9,5975.9,6097.1,6232.8,6361.9,6433.1,6574.5,6748.5,6887.9,7027.2,7098.2,7235.7,7419.7,7488.6,7613.2,7682.1,7842.7,7935.5,8047.4,8186.3,8309.5,8382.5,8531.1,8721.6,8860.1,9000.9,9073.2,9283.1,9371.7,9494.5,9625.9,9752.3,9825.4,9980.3,10147,10294,10431,10504,10636,10806,10874,10992,11067,11273,11365,11477,11617,11744,11820,11970,12176,12346,12567,12751,12935,13108
1198.2,1405.3,1585.4,1767.1,1918.8,2086.7,2213.8,2292.8,2360.2,2566.8,2744.5,2890.8,3030.7,3139.2,3209.8,3375.6,3539.6,3766.9,3903.1,3977.9,4042.6,4211.8,4398.8,4538.2,4670.2,4783.9,4859.9,5007.7,5197.4,5337.4,5499.7,5558.6,5688,5758.5,5920,6020.7,6192.9,6331.2,6414.5,6482.3,6632.8,6819.2,6958,7073.7,7150.7,7301.6,7469.2,7527.5,7661.5,7731.4,7872.9,7975.5,8147.8,8283.1,8362.5,8426.2,8591.8,8787.7,8927.4,9052.2,9120.6,9321.4,9420.5,9588,9720.7,9803.7,9879.7,10041,10214,10362,10482,10553,10705,10833,10907,11047,11120,11306,11418,11581,11716,11796,11844,12038,12244,12401,12609,12777,12978,13165
