r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,r,l,r,l,i,r,r,e,e,a,b,r,n
1111.5,1306,1482.9,1664.2,1838.6,1977.1,2121.2,2254.2,2385.7,2457.4,2608.2,2784.1,2925.3,3060.3,3191.7,3264.4,3404.7,3576.3,3745.2,3919.3,4042.6,4163.1,4307.3,4433.7,4506.6,4661.2,4834.7,4975.7,5109.5,5247.6,5391.8,5462.9,5581.4,5677.6,5795.1,5931.7,6060.9,6133.8,6283.5,6462.4,6630.9,6768,6893,6966.6,7109.4,7280.1,7417.2,7559.6,7692.8,7764.9,7946.2,8033.4,8152.6,8286.8,8417.6,8494.3,8641.5,8817.2,8961.4,9103.3,9232.4,9313.2,9551.4,9670.6,9795.3,9930.7,10056,10135,10290,10471,10618,10751,10907,10980,11142,11238,11354,11493,11619,11693,11853,12034,12178,12320,12473,12648,12762,12950,13136,13272,13452,13641,13782,13909,13984,14157,14332
1167.8,1362.7,1535.6,1721.1,1900,2033.4,2229.2,2356.4,2439.4,2500.5,2681.2,2852.4,2994,3130.8,3246.8,3319.3,3474.4,3635.2,3788,3962.7,4099.6,4270.2,4406.1,4488.6,4551.5,4739.9,4908.4,5048,5182.8,5318.9,5446.2,5515.2,5630.4,5726.1,5903.1,6033.6,6111.9,6186.6,6356.1,6522.8,6734.8,6868,6944.4,7015.7,7181.1,7351.8,7489.4,7631.8,7744.8,7821.9,7986.7,8093.2,8257,8394.7,8478.7,8542.2,8714.1,8888.2,9037.7,9176.8,9292.4,9366.8,9597.7,9732.2,9900.9,10036,10116,10186,10361,10542,10693,10827,10963,11036,11199,11296,11466,11594,11673,11745,11934,12109,12254,12393,12537,12705,12849,13012,13180,13339,13513,13752,13886,13966,14039,14235,14408
