i,l,i,l,r,r,r,r,l,l,i,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,i,r,i,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b
1226.8,1455.5,1812.8,1958.5,2113.4,2299.8,2464.2,2641.2,2801.2,2952.3,3113.1,3272.3,3407.6,3527.1,3667.1,3782.2,3859.4,4020.5,4213,4366.4,4503.4,4623.4,4701.6,4839.1,5027.5,5161.3,5290.5,5423.5,5501.2,5633.5,5726.4,5846.1,5979.8,6102.1,6180.3,6354.6,6532.2,6668.3,6811.5,6882.9,7028,7206.7,7276.9,7406.4,7478.7,7637.3,7724.5,7842.5,7986.2,8103.2,8183.3,8313.6,8487.9,8643.3,8782.9,8909.8,8985,9132.2,9307.7,9445.3,9580.1,9715,9788.1,9928.1,10098,10261,10398,10522,10601,10757,10935,11074,11212,11350,11424,11563,11731,11897,12041,12164,12298,12425,12503,12646,12828,13005,13142,13360,13496,13660,13824,13949,14094,14211,14293,14449,14645,14785,14927,15059,15142,15316,15494,15641,15774,15900,16039,16161,16241,16438,16622,16760,16889,17029,17105,17248,17426,17495,17625,17700
1266,1511.8,1852.6,2020.4,2173.5,2360.6,2526.4,2704.5,2864.2,3008.3,3154.8,3317,3470.5,3627.3,3764.4,3843.6,3915.7,4098.7,4285.2,4471.2,4596.2,4688.7,4761.2,4917.4,5101.4,5232.8,5360.6,5484,5560.3,5685.9,5787.9,5949.6,6081.1,6164.2,6236.2,6444.5,6604.3,6741,6864.1,6938.5,7111.8,7248.9,7318.1,7464.4,7538.2,7681.4,7787.4,7943.5,8083.4,8167.6,8241.8,8394.9,8560.9,8753.7,8884,8970.6,9042.2,9209.9,9382.7,9518.1,9651.3,9770.6,9847.5,10009,10162,10366,10501,10585,10661,10839,11007,11147,11288,11407,11485,11640,11788,11949,12108,12264,12399,12489,12565,12730,12891,13056,13218,13420,13561,13721,13888,14064,14193,14274,14343,14534,14721,14863,15004,15125,15202,15404,15561,15707,15839,16005,16138,16226,16299,16524,16702,16837,16967,17089,17165,17327,17467,17543,17683,17764
