l,l,r,r,r,l,r,i,i,i,v,x,a,b,r,l,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,i,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b
1614.3,1771,1970.3,2160.8,2356.1,2527.4,2677.3,2882.7,3055.6,3230.9,3393.2,3465.7,3587.2,3656.6,3802.5,3968.6,4138.4,4273.1,4390.8,4527.8,4650.3,4721.2,4875.1,5042.6,5185,5313.6,5445.4,5515.2,5662.4,5834.6,5903.9,6028,6096.4,6257.5,6440.6,6616.5,6751.5,6875,6951.3,7101.5,7291.8,7435.3,7587.4,7656.9,7788.9,7966.3,8076.6,8265.3,8444.9,8583.9,8706.7,8842.9,8967.9,9040.8,9177.4,9363.1,9504.9,9632.5,9762.2,9832.8,9977.7,10150,10329,10469,10592,10665,10811,10981,11168,11334,11405,11520,11598,11773,11862,11978,12115,12245,12318,12477,12650,12797,12957,13093,13165,13314,13494,13560,13704,13775,13972,14061,14173,14315,14443,14517,14656,14847,15028,15163,15287,15360,15532,15744,15895,16044,16187,16258,16398,16581,16769,16966,17147,17314,17449,17568,17708,17838,17910,18059,18257,18416,18549,18691,18764,18934,19111,19182,19319,19392
1660.5,1824.1,2010.1,2215.4,2402.9,2579.4,2725.5,2921.2,3082.3,3269.8,3423.4,3499.5,3630.6,3707,3867.1,4024,4169.7,4323.8,4487.1,4615.6,4697.3,4767.6,4930.9,5109.5,5252.2,5383.2,5492.7,5564,5727.6,5863.2,5931,6075.1,6145.9,6321.6,6491.2,6714.8,6852.5,6928,6998.8,7168,7355.4,7505.4,7635.6,7710,7855.7,7999.9,8141.3,8323.6,8478.3,8634.9,8807.7,8943,9019.1,9088.3,9242.9,9425.9,9571.2,9700.7,9810.2,9879.3,10044,10206,10431,10565,10643,10716,10878,11034,11211,11378,11446,11575,11650,11804,11912,12078,12211,12293,12366,12545,12721,12867,13027,13143,13219,13351,13519,13599,13752,13822,14005,14107,14281,14407,14493,14568,14722,14903,15130,15264,15337,15408,15598,15810,15967,16114,16236,16310,16460,16638,16805,17002,17176,17357,17503,17670,17806,17890,17963,18128,18332,18488,18613,18741,18814,19002,19146,19231,19371,19445
